Virus Strain Name,Accession_ID,Lineage,Sample_Collection_Date,country,province,city
hCoV-19/Fujian/FPCDCP-2727/2022,EPI_ISL_16283958,BA.5.2.48,12/17/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2728/2022,EPI_ISL_16283959,BA.5.2.49,12/17/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2740/2022,EPI_ISL_16283960,BF.7.14,12/17/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2745/2022,EPI_ISL_16283961,BF.7.14,12/17/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2750/2022,EPI_ISL_16283962,BA.5.2.48,12/20/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2778/2022,EPI_ISL_16283963,BA.5.2.49,12/20/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2795/2022,EPI_ISL_16283964,BF.7.14,12/19/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2823/2022,EPI_ISL_16283965,BA.5.2.49,12/19/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2825/2022,EPI_ISL_16283966,BA.5.2.48,12/19/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2862/2022,EPI_ISL_16283967,BF.7.14,12/20/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2826/2022,EPI_ISL_16283968,BF.7.14,12/20/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2931/2022,EPI_ISL_16283969,BA.5.2.48,12/19/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2938/2022,EPI_ISL_16283970,BF.7.14,12/19/2022,China,Fujian,Fuzhou
hCoV-19/Fujian/FPCDCP-2686/2022,EPI_ISL_16283972,BA.5.2.48,12/1/2022,China,Fujian,Putian
hCoV-19/Fujian/FPCDCP-2687/2022,EPI_ISL_16283973,BA.5.2.48,12/1/2022,China,Fujian,Putian
hCoV-19/Fujian/FPCDCP-01-1/2022,EPI_ISL_16283974,BF.7.14,12/1/2022,China,Fujian,Longyan
hCoV-19/Fujian/FPCDCP-01-2/2022,EPI_ISL_16283975,BF.7.14,12/1/2022,China,Fujian,Longyan
hCoV-19/Fujian/FPCDCP-2693/2022,EPI_ISL_16283977,BA.5.2.49,12/3/2022,China,Fujian,Ningde
hCoV-19/Fujian/FPCDCP-06-1/2022,EPI_ISL_16283978,BA.5.2.49,12/6/2022,China,Fujian,Longyan
hCoV-19/Fujian/FPCDCP-06-2/2022,EPI_ISL_16283979,BA.5.2.49,12/6/2022,China,Fujian,Longyan
hCoV-19/Fujian/FPCDCP-06-3/2022,EPI_ISL_16283980,BA.5.2.49,12/6/2022,China,Fujian,Longyan
hCoV-19/Fujian/FPCDCP-2697/2022,EPI_ISL_16283981,BA.5.2.48,12/5/2022,China,Fujian,Putian
hCoV-19/Fujian/FPCDCP-2698/2022,EPI_ISL_16283982,BA.5.2.48,12/6/2022,China,Fujian,Putian
hCoV-19/Fujian/FPCDCP-2694/2022,EPI_ISL_16283983,BA.5.2.48,12/1/2022,China,Fujian,Sanming
hCoV-19/Fujian/FPCDCP-2695/2022,EPI_ISL_16283984,BA.5.2.48,12/5/2022,China,Fujian,Sanming
hCoV-19/Fujian/FPCDCP-2717/2022,EPI_ISL_16283985,BA.5.2.48,12/15/2022,China,Fujian,Sanming
hCoV-19/Fujian/FPCDCP-2718/2022,EPI_ISL_16283986,BA.5.2.48,12/15/2022,China,Fujian,Sanming
hCoV-19/Fujian/FPCDCP-2719/2022,EPI_ISL_16283987,BA.5.2.48,12/15/2022,China,Fujian,Sanming
hCoV-19/Fujian/FPCDCP-ZZ31371/2022,EPI_ISL_16283988,BF.7.14,12/17/2022,China,Fujian,Zhangzhou
hCoV-19/Fujian/FPCDCP-ZZ31372/2022,EPI_ISL_16283989,BF.7.14,12/17/2022,China,Fujian,Zhangzhou
hCoV-19/Fujian/FPCDCP-ZZ31373/2022,EPI_ISL_16283990,BF.7.14,12/17/2022,China,Fujian,Zhangzhou
hCoV-19/Fujian/FPCDCP-ZZ31374/2022,EPI_ISL_16283991,BF.7.14,12/17/2022,China,Fujian,Zhangzhou
hCoV-19/Beijing/BJCDC-3189/2022,EPI_ISL_16283992,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3190/2022,EPI_ISL_16283993,BA.5.2.48,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3191/2022,EPI_ISL_16283994,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3192/2022,EPI_ISL_16283995,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3193/2022,EPI_ISL_16283996,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3194/2022,EPI_ISL_16283997,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3195/2022,EPI_ISL_16283998,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3196/2022,EPI_ISL_16283999,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3197/2022,EPI_ISL_16284000,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3198/2022,EPI_ISL_16284001,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3199/2022,EPI_ISL_16284002,DY.2,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3200/2022,EPI_ISL_16284003,DY.2,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3201/2022,EPI_ISL_16284004,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3202/2022,EPI_ISL_16284005,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3203/2022,EPI_ISL_16284006,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3204/2022,EPI_ISL_16284007,DY.2,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3205/2022,EPI_ISL_16284008,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3206/2022,EPI_ISL_16284009,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3207/2022,EPI_ISL_16284010,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Beijing/BJCDC-3208/2022,EPI_ISL_16284011,BF.7.14,12/6/2022,China,Beijing,
hCoV-19/Taiwan/NCKUH-061022012844/2022,EPI_ISL_16298560,BA.5.2.1,12/2/2022,China,Taiwan,Tainan
hCoV-19/Taiwan/NCKUH-061022012843/2022,EPI_ISL_16298561,BA.5.2.34,12/1/2022,China,Taiwan,Tainan
hCoV-19/Taiwan/NCKUH-061022012889/2022,EPI_ISL_16298562,BE.1.1,12/5/2022,China,Taiwan,Tainan
hCoV-19/Sichuan/SCDCP-4543/2022,EPI_ISL_16306914,BA.5.2.48,12/17/2022,China,Sichuan,Dazhou
hCoV-19/Sichuan/SCDCP-4544/2022,EPI_ISL_16306915,BA.5.2.48,12/17/2022,China,Sichuan,Dazhou
hCoV-19/Sichuan/SCDCP-4545/2022,EPI_ISL_16306916,BA.5.2.48,12/17/2022,China,Sichuan,Dazhou
hCoV-19/Sichuan/SCDCP-4546/2022,EPI_ISL_16306917,BA.5.2.48,12/17/2022,China,Sichuan,Dazhou
hCoV-19/Sichuan/SCDCP-4547/2022,EPI_ISL_16306918,BA.5.2.48,12/17/2022,China,Sichuan,Dazhou
hCoV-19/Sichuan/SCDCP-4550/2022,EPI_ISL_16306919,BA.5.2.49,12/17/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4551/2022,EPI_ISL_16306920,BA.5.2.48,12/17/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4552/2022,EPI_ISL_16306921,BA.5.2.48,12/17/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4553/2022,EPI_ISL_16306922,BA.5.2.48,12/17/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4554/2022,EPI_ISL_16306923,BA.5.2.49,12/17/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4376/2022,EPI_ISL_16306924,BA.5.2.48,12/1/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4379/2022,EPI_ISL_16306925,BA.5.2.48,12/1/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4386/2022,EPI_ISL_16306926,BA.5.2.49,12/2/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4389/2022,EPI_ISL_16306927,BA.5.2.49,12/2/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4408/2022,EPI_ISL_16306928,BF.7.14,12/2/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4412/2022,EPI_ISL_16306929,BA.5.2.48,12/2/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4416/2022,EPI_ISL_16306930,BF.7.14,12/2/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4515/2022,EPI_ISL_16306931,BA.5.1,12/9/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4525/2022,EPI_ISL_16306932,BA.5.2.49,12/9/2022,China,Sichuan,Chengdu
hCoV-19/Sichuan/SCDCP-4530/2022,EPI_ISL_16306933,BA.5.2.48,12/9/2022,China,Sichuan,Chengdu
hCoV-19/Shanghai/SJTU-234464/2022,EPI_ISL_16327397,BF.7.14,12/8/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234481/2022,EPI_ISL_16327404,BQ.1.10,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234482/2022,EPI_ISL_16327405,BA.5.2.49,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234487/2022,EPI_ISL_16327407,BA.5.2.49,12/3/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234489/2022,EPI_ISL_16327409,BA.5.2.49,12/3/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234490/2022,EPI_ISL_16327410,BA.5.2.49,12/3/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234789/2022,EPI_ISL_16327437,BQ.1.1,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234820/2022,EPI_ISL_16327440,BA.5.2.48,12/2/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234821/2022,EPI_ISL_16327441,BA.5.2.48,12/2/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234868/2022,EPI_ISL_16327451,BA.5,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234872/2022,EPI_ISL_16327452,BA.5.2.1,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234875/2022,EPI_ISL_16327453,BA.5.2.6,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234921/2022,EPI_ISL_16327459,BQ.1.1.11,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234922/2022,EPI_ISL_16327460,DQ.1,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234993/2022,EPI_ISL_16327466,BQ.1.8,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-234994/2022,EPI_ISL_16327467,BF.26,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235034/2022,EPI_ISL_16327474,BF.7.14,12/8/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235154-2/2022,EPI_ISL_16327477,BQ.1.1.6,12/1/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235164/2022,EPI_ISL_16327478,BL.1,12/3/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235279/2022,EPI_ISL_16327483,BQ.1.1.11,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235305/2022,EPI_ISL_16327487,BQ.1.1,12/5/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235306/2022,EPI_ISL_16327488,BQ.1.1,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235311/2022,EPI_ISL_16327490,BQ.1,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235319/2022,EPI_ISL_16327494,BA.5.9,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235325/2022,EPI_ISL_16327496,BQ.1.18,12/3/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235447/2022,EPI_ISL_16327504,BQ.1,12/4/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235557/2022,EPI_ISL_16327512,BQ.1.2,12/5/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235580/2022,EPI_ISL_16327513,BF.7.12,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235615/2022,EPI_ISL_16327517,BA.5.2.49,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235817/2022,EPI_ISL_16327522,BW.1.1,12/7/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235819/2022,EPI_ISL_16327524,BF.7.12,12/7/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235825/2022,EPI_ISL_16327525,XBB.1,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235846/2022,EPI_ISL_16327529,BA.5.2.35,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235859/2022,EPI_ISL_16327532,BA.5.2.49,12/5/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235868/2022,EPI_ISL_16327536,BQ.1.1.3,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235877/2022,EPI_ISL_16327541,BQ.1.1,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235878/2022,EPI_ISL_16327542,BQ.1.1,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235879/2022,EPI_ISL_16327543,BQ.1.1.7,12/8/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235935/2022,EPI_ISL_16327547,BQ.1.12,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235980/2022,EPI_ISL_16327548,XBB.1,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235981/2022,EPI_ISL_16327549,XBB.1,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235985/2022,EPI_ISL_16327550,XBB.1,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235986/2022,EPI_ISL_16327551,XBB.1,12/6/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-235988/2022,EPI_ISL_16327552,BN.1.1,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236020/2022,EPI_ISL_16327556,BF.7,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236047/2022,EPI_ISL_16327558,BA.5.2.35,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236048/2022,EPI_ISL_16327559,DN.1,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236137/2022,EPI_ISL_16327562,XBB.1,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236166/2022,EPI_ISL_16327564,BF.7,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236169/2022,EPI_ISL_16327565,BQ.1.1,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236190/2022,EPI_ISL_16327567,BQ.1.14,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236221/2022,EPI_ISL_16327569,BA.5.2.1,12/8/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236325/2022,EPI_ISL_16327572,BA.5.2.6,12/19/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236326/2022,EPI_ISL_16327573,BF.7,12/8/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236353/2022,EPI_ISL_16327575,BA.5.2.23,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236360/2022,EPI_ISL_16327576,BQ.1.1.11,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236444/2022,EPI_ISL_16327577,BQ.1.1.10,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236453/2022,EPI_ISL_16327579,BA.5.2.1,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236476/2022,EPI_ISL_16327583,BQ.1.1.3,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236564/2022,EPI_ISL_16327584,BF.27,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236583/2022,EPI_ISL_16327586,BQ.1,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236585/2022,EPI_ISL_16327587,BA.5.2.35,12/17/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236590/2022,EPI_ISL_16327588,BQ.1.1,12/17/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236591/2022,EPI_ISL_16327589,BF.7.4,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236592/2022,EPI_ISL_16327590,CH.1.1.3,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236596/2022,EPI_ISL_16327592,BQ.1,12/10/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236619/2022,EPI_ISL_16327594,CH.1.1.3,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236621/2022,EPI_ISL_16327595,CH.1.1.1,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236682/2022,EPI_ISL_16327596,BN.1.3.1,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236690/2022,EPI_ISL_16327597,BQ.1.1.3,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236700/2022,EPI_ISL_16327598,CH.1.1.1,12/17/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236706/2022,EPI_ISL_16327599,BQ.1.12,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236707/2022,EPI_ISL_16327600,XBB.1.5,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236719/2022,EPI_ISL_16327601,BQ.1.1,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236720/2022,EPI_ISL_16327602,BF.7.6,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236723/2022,EPI_ISL_16327603,BQ.1.1,12/12/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236733/2022,EPI_ISL_16327604,BQ.1,12/11/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236738/2022,EPI_ISL_16327605,XBB.1.2,12/22/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236740/2022,EPI_ISL_16327607,BQ.1.1,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236743/2022,EPI_ISL_16327608,BQ.1.28,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236749/2022,EPI_ISL_16327609,XBB.1,12/18/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236755/2022,EPI_ISL_16327611,BQ.1.1.18,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236770/2022,EPI_ISL_16327613,BA.5.2.48,12/17/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236854/2022,EPI_ISL_16327615,BA.5.1,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236884/2022,EPI_ISL_16327620,BQ.1.1,12/13/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236900/2022,EPI_ISL_16327625,BR.2.1,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236907/2022,EPI_ISL_16327627,BF.11,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236913/2022,EPI_ISL_16327631,XBB.1.5,12/9/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-236922/2022,EPI_ISL_16327632,BN.1.2,12/18/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237018/2022,EPI_ISL_16327634,BN.1.2,12/17/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237024/2022,EPI_ISL_16327635,BA.5.2,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237071/2022,EPI_ISL_16327638,BQ.1.25,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237072/2022,EPI_ISL_16327639,BQ.1.12,12/16/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237075/2022,EPI_ISL_16327640,BA.5.2.1,12/18/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237078/2022,EPI_ISL_16327642,BF.7.15,12/16/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237079/2022,EPI_ISL_16327643,BF.5,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237081/2022,EPI_ISL_16327644,BA.5.2.1,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237082/2022,EPI_ISL_16327645,BN.1.3,12/15/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237087/2022,EPI_ISL_16327646,BN.1.3.1,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237095/2022,EPI_ISL_16327648,BA.5.2,12/14/2022,China,Shanghai,
hCoV-19/Shanghai/SJTU-237096/2022,EPI_ISL_16327649,XBK,12/12/2022,China,Shanghai,
