Virus_Strain_Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
hCoV-19/Shanghai/SCDC-3807/2023	EPI_ISL_18481163	JC.2	10/15/2023	China	Shanghai		Others	10/15/2023
hCoV-19/Shanghai/SCDC-3833/2023	EPI_ISL_18481157	FU.2.1	10/18/2023	China	Shanghai		XBB.1.16*	10/18/2023
hCoV-19/Shanghai/SCDC-14573/2023	EPI_ISL_18481156	BA.2.86.1	10/8/2023	China	Shanghai		Others	10/8/2023
hCoV-19/Sichuan/GYCDC-267/2023	EPI_ISL_18480997	HK.27.1.1	10/2/2023	China	Sichuan		EG.5.1*	10/2/2023
hCoV-19/Taiwan/CDC-F88519/2023	EPI_ISL_18475479	HK.3	9/9/2023	China	Taiwan		EG.5.1*	9/9/2023
hCoV-19/Shanghai/SCDC-HG1019-3824/2023	EPI_ISL_18475252	EG.6.1	10/17/2023	China	Shanghai		Others	10/17/2023
hCoV-19/Shanghai/SCDC-HG1018-3816/2023	EPI_ISL_18475246	FY.5.3	10/16/2023	China	Shanghai		XBB.1.22.1*	10/16/2023
hCoV-19/Shanghai/SCDC-HG1018-3814/2023	EPI_ISL_18475245	GW.5	10/16/2023	China	Shanghai		Others	10/16/2023
hCoV-19/Shanghai/SCDC-HG1017-3807/2023	EPI_ISL_18475214	JC.2	10/15/2023	China	Shanghai		Others	10/15/2023
hCoV-19/Shanghai/SCDC-XG10-14721/2023	EPI_ISL_18475163	HK.3	10/9/2023	China	Shanghai		EG.5.1*	10/9/2023
hCoV-19/Shanghai/SCDC-XG10-14720/2023	EPI_ISL_18475162	FL.2.3	10/17/2023	China	Shanghai		XBB.1.9.1*	10/17/2023
hCoV-19/Shanghai/SCDC-XG10-14652/2023	EPI_ISL_18475139	FY.5.3	10/9/2023	China	Shanghai		XBB.1.22.1*	10/9/2023
hCoV-19/Shanghai/SCDC-XG10-14593/2023	EPI_ISL_18475136	EG.5.1.1	9/26/2023	China	Shanghai		EG.5.1*	9/26/2023
hCoV-19/Shanghai/SCDC-XG10-14585/2023	EPI_ISL_18475133	EG.5.1.1	10/1/2023	China	Shanghai		EG.5.1*	10/1/2023
hCoV-19/Shanghai/SCDC-HG1007-3696/2023	EPI_ISL_18465410	XBB.1.16.26	10/2/2023	China	Shanghai		XBB.1.16*	10/2/2023
hCoV-19/Shanghai/SCDC-XG10-14627/2023	EPI_ISL_18465402	XBB.1.16.26	10/8/2023	China	Shanghai		XBB.1.16*	10/8/2023
hCoV-19/Shanghai/SCDC-N-873/2023	EPI_ISL_18465344	FL.1.5.1	9/28/2023	China	Shanghai		XBB.1.9.1*	9/28/2023
hCoV-19/Shanghai/SCDC-HG1015-3786/2023	EPI_ISL_18465333	GS.4.1	10/13/2023	China	Shanghai		Others	10/13/2023
hCoV-19/Shanghai/SCDC-HG1014-3785/2023	EPI_ISL_18465331	JN.1	10/12/2023	China	Shanghai		Others	10/12/2023
hCoV-19/Shanghai/SCDC-HG1013-3778/2023	EPI_ISL_18465327	JN.1.1	10/11/2023	China	Shanghai		Others	10/11/2023
hCoV-19/Shanghai/SCDC-HG1011-3756-2/2023	EPI_ISL_18465306	XBB.1.16.26	10/9/2023	China	Shanghai		XBB.1.16*	10/9/2023
hCoV-19/Shanghai/SCDC-HG1015-3792/2023	EPI_ISL_18465305	GW.5.3.1	10/13/2023	China	Shanghai		Others	10/13/2023
hCoV-19/Henan/SMXCDC101202/2023	EPI_ISL_18465217	HK.3	10/5/2023	China	Henan	Sanmenxia	EG.5.1*	10/5/2023
hCoV-19/Henan/PYCDC-XG190/2023	EPI_ISL_18465214	HK.3.9	10/4/2023	China	Henan	Puyang	EG.5.1*	10/4/2023
hCoV-19/Henan/PYCDC-XG191/2023	EPI_ISL_18465209	HK.3	10/4/2023	China	Henan	Puyang	EG.5.1*	10/4/2023
hCoV-19/Henan/PYCDC-LG892/2023	EPI_ISL_18465204	HK.3.9	9/20/2023	China	Henan	Puyang	EG.5.1*	9/20/2023
hCoV-19/Henan/XYCDC-0357/2023	EPI_ISL_18465194	EG.5.1.1	9/7/2023	China	Henan		EG.5.1*	9/7/2023
hCoV-19/Henan/XYCDC-0361/2023	EPI_ISL_18465189	HK.3.1	9/10/2023	China	Henan		EG.5.1*	9/10/2023
hCoV-19/Henan/XYCDC-0358/2023	EPI_ISL_18465185	EG.5.1.1	9/8/2023	China	Henan		EG.5.1*	9/8/2023
hCoV-19/Henan/XYCDC-0355/2023	EPI_ISL_18465184	HK.27.1	9/6/2023	China	Henan		EG.5.1*	9/6/2023
hCoV-19/Henan/XYCDC-0353/2023	EPI_ISL_18465183	HK.3.9	9/6/2023	China	Henan		EG.5.1*	9/6/2023
hCoV-19/Hong Kong/HKU-231103-001/2023	EPI_ISL_18461518	EG.5.1	6/22/2023	China	Hong Kong		EG.5.1*	6/22/2023
hCoV-19/Taiwan/CDC-F89052/2023	EPI_ISL_18458025	HK.3	10/8/2023	China	Taiwan		EG.5.1*	10/8/2023
hCoV-19/Taiwan/CDC-F89246/2023	EPI_ISL_18458005	HK.3	10/11/2023	China	Taiwan		EG.5.1*	10/11/2023
hCoV-19/Shanxi/SZCDC-SZ109/2023	EPI_ISL_18454321	HK.3.2	10/1/2023	China	Shanxi		EG.5.1*	10/1/2023
hCoV-19/Shanxi/SZCDC-SZ108/2023	EPI_ISL_18454320	HK.3.2	10/1/2023	China	Shanxi		EG.5.1*	10/1/2023
hCoV-19/Shanxi/SZCDC-SZ103/2023	EPI_ISL_18454316	HK.3.11	10/1/2023	China	Shanxi		EG.5.1*	10/1/2023
hCoV-19/Shanxi/SZCDC-SZ107/2023	EPI_ISL_18454315	HK.32	10/3/2023	China	Shanxi		EG.5.1*	10/3/2023
hCoV-19/Shanxi/SZCDC-SZ104/2023	EPI_ISL_18454314	HK.3	9/29/2023	China	Shanxi		EG.5.1*	9/29/2023
hCoV-19/Henan/SMXCDC093010/2023	EPI_ISL_18454305	HK.3.13	9/18/2023	China	Henan	Sanmenxia	EG.5.1*	9/18/2023
hCoV-19/Fujian/FCDC-NP2645/2023	EPI_ISL_18447509	HK.3.9	10/24/2023	China	Fujian	Nanping	EG.5.1*	10/24/2023
hCoV-19/Sichuan/YBCDC-XGCX434/2023	EPI_ISL_18442777	HK.8.1	10/10/2023	China	Sichuan	Yibin	EG.5.1*	10/10/2023
hCoV-19/Gansu/TSCDC-102410/2023	EPI_ISL_18442748	HK.2.1	10/19/2023	China	Gansu	Tianshui	EG.5.1*	10/19/2023
hCoV-19/Gansu/TSCDC-102401/2023	EPI_ISL_18442746	HK.3	10/19/2023	China	Gansu	Tianshui	EG.5.1*	10/19/2023
hCoV-19/Taiwan/CDC-F89207/2023	EPI_ISL_18440669	HK.3	10/2/2023	China	Taiwan		EG.5.1*	10/2/2023
hCoV-19/Shanghai/SCDC-XG10-14251/2023	EPI_ISL_18438506	HK.3.1	10/6/2023	China	Shanghai		EG.5.1*	10/6/2023
hCoV-19/Hubei/HCDC-YC3308/2023	EPI_ISL_18438467	HK.8.1	9/27/2023	China	Hubei	Yichang	EG.5.1*	9/27/2023
hCoV-19/Hubei/HCDC-YC3315/2023	EPI_ISL_18438462	HK.3.1	9/27/2023	China	Hubei	Yichang	EG.5.1*	9/27/2023
hCoV-19/Hubei/HCDC-SY3234/2023	EPI_ISL_18438412	HK.32	9/26/2023	China	Hubei	Shiyan	EG.5.1*	9/26/2023
hCoV-19/Hubei/HCDC-SY3248/2023	EPI_ISL_18438398	HK.32	10/6/2023	China	Hubei	Shiyan	EG.5.1*	10/6/2023
hCoV-19/Gansu/BYCDC231/2023	EPI_ISL_18438349	HK.3	10/17/2023	China	Gansu	Baiyin	EG.5.1*	10/17/2023
hCoV-19/Gansu/BYCDC230/2023	EPI_ISL_18438348	HK.3.1	10/18/2023	China	Gansu	Baiyin	EG.5.1*	10/18/2023
hCoV-19/Anhui/TLCDC-CX072/2023	EPI_ISL_18435233	HK.3	9/23/2023	China	Anhui		EG.5.1*	9/23/2023
hCoV-19/Anhui/TLCDC-CX064/2023	EPI_ISL_18435225	HK.3	9/17/2023	China	Anhui		EG.5.1*	9/17/2023
hCoV-19/Taiwan/CDC-F88770/2023	EPI_ISL_18427837	HK.3	9/24/2023	China	Taiwan		EG.5.1*	9/24/2023
hCoV-19/Taiwan/CDC-F88231/2023	EPI_ISL_18427830	HK.3	9/25/2023	China	Taiwan		EG.5.1*	9/25/2023
hCoV-19/Taiwan/CDC-W32809/2023	EPI_ISL_18427820	HK.3.1	9/29/2023	China	Taiwan		EG.5.1*	9/29/2023
hCoV-19/Sichuan/YBCDC-XGCX423/2023	EPI_ISL_18409327	HK.8.1	10/1/2023	China	Sichuan	Yibin	EG.5.1*	10/1/2023
hCoV-19/Sichuan/LSSCDC-ls1012-7/2023	EPI_ISL_18409290	HK.3.1	10/5/2023	China	Sichuan	Leshan	EG.5.1*	10/5/2023
hCoV-19/Gansu/BYCDC216/2023	EPI_ISL_18409253	HK.3.11	10/15/2023	China	Gansu	Baiyin	EG.5.1*	10/15/2023
hCoV-19/Gansu/BYCDC212/2023	EPI_ISL_18409249	HK.3.1	10/15/2023	China	Gansu	Baiyin	EG.5.1*	10/15/2023
hCoV-19/Gansu/BYCDC202/2023	EPI_ISL_18409239	HK.3	10/11/2023	China	Gansu	Baiyin	EG.5.1*	10/11/2023
hCoV-19/Anhui/TLCDC-CX051/2023	EPI_ISL_18409194	HK.3	8/19/2023	China	Anhui		EG.5.1*	8/19/2023
hCoV-19/Anhui/TLCDC-CX050/2023	EPI_ISL_18409193	HK.3	8/19/2023	China	Anhui		EG.5.1*	8/19/2023
hCoV-19/Anhui/TLCDC-CX041/2023	EPI_ISL_18409184	FU.1	8/1/2023	China	Anhui		XBB.1.16*	8/1/2023
hCoV-19/Sichuan/YBCDC-XGCX405/2023	EPI_ISL_18402013	FY.3.1	9/12/2023	China	Sichuan	Yibin	XBB.1.22.1*	9/12/2023
hCoV-19/Sichuan/MYCDC-XGCX362/2023	EPI_ISL_18401989	XBB.1.16.26	9/25/2023	China	Sichuan	Mianyang	XBB.1.16*	9/25/2023
hCoV-19/Sichuan/MYCDC-XGCX361/2023	EPI_ISL_18401988	XBB.1.16.26	9/25/2023	China	Sichuan	Mianyang	XBB.1.16*	9/25/2023
hCoV-19/Gansu/TSCDC-101210/2023	EPI_ISL_18401745	HK.27.1	10/6/2023	China	Gansu	Tianshui	EG.5.1*	10/6/2023
hCoV-19/Fujian/FCDC-QZ10S005/2023	EPI_ISL_18401718	HK.2.1	10/1/2023	China	Fujian	Quanzhou	EG.5.1*	10/1/2023
hCoV-19/Fujian/FCDC-NP2546/2023	EPI_ISL_18401710	HK.3.9	10/10/2023	China	Fujian	Nanping	EG.5.1*	10/10/2023
hCoV-19/Fujian/FCDC-NP2570/2023	EPI_ISL_18401707	HK.3.9	10/11/2023	China	Fujian	Nanping	EG.5.1*	10/11/2023
hCoV-19/Fujian/FCDC-FZCX0366/2023	EPI_ISL_18401698	HK.8.1	9/27/2023	China	Fujian	Fuzhou	EG.5.1*	9/27/2023
hCoV-19/Hubei/HCDC-YC3209/2023	EPI_ISL_18388924	HK.8.1	9/20/2023	China	Hubei	Yichang	EG.5.1*	9/20/2023
hCoV-19/Hubei/HCDC-HS3184/2023	EPI_ISL_18388897	HK.3.1	10/6/2023	China	Hubei	Huangshi	EG.5.1*	10/6/2023
hCoV-19/Sichuan/ZYSCDC-YJ0334/2023	EPI_ISL_18376582	FY.3.1	9/7/2023	China	Sichuan	Ziyang	XBB.1.22.1*	9/7/2023
hCoV-19/Sichuan/ZGCDC-zgxg417/2023	EPI_ISL_18376571	HK.3	9/16/2023	China	Sichuan	Zigong	EG.5.1*	9/16/2023
hCoV-19/Sichuan/ZGCDC-zgxg409/2023	EPI_ISL_18376568	XBB.1.16.26	9/19/2023	China	Sichuan	Zigong	XBB.1.16*	9/19/2023
hCoV-19/Sichuan/ZGCDC-zgxg419/2023	EPI_ISL_18376560	HK.8.1	9/16/2023	China	Sichuan	Zigong	EG.5.1*	9/16/2023
hCoV-19/Sichuan/MYCDC-XGCX346/2023	EPI_ISL_18376540	XBB.1.16.26	9/18/2023	China	Sichuan	Mianyang	XBB.1.16*	9/18/2023
hCoV-19/Sichuan/MYCDC-XGCX344/2023	EPI_ISL_18376535	XBB.1.16.26	9/14/2023	China	Sichuan	Mianyang	XBB.1.16*	9/14/2023
hCoV-19/Hubei/HCDC-SY3143/2023	EPI_ISL_18376480	HK.32	9/19/2023	China	Hubei	Shiyan	EG.5.1*	9/19/2023
hCoV-19/Fujian/FCDC-QZ09S047/2023	EPI_ISL_18376446	HK.3.1	9/22/2023	China	Fujian	Quanzhou	EG.5.1*	9/22/2023
hCoV-19/Fujian/FCDC-ND1866/2023	EPI_ISL_18376434	FY.3.2	9/11/2023	China	Fujian	Ningde	XBB.1.22.1*	9/11/2023
hCoV-19/Fujian/FCDC-ND1906/2023	EPI_ISL_18376431	HK.3.9	9/12/2023	China	Fujian	Ningde	EG.5.1*	9/12/2023
hCoV-19/Fujian/FCDC-LY1994/2023	EPI_ISL_18376428	HK.27.1	10/3/2023	China	Fujian	Longyan	EG.5.1*	10/3/2023
hCoV-19/Fujian/FCDC-FZCX354/2023	EPI_ISL_18376423	HK.3	9/10/2023	China	Fujian	Fuzhou	EG.5.1*	9/10/2023
hCoV-19/Guangdong/SZTH44/2023	EPI_ISL_18373116	EG.5.1.1	5/16/2023	China	Guangdong	Shenzhen	EG.5.1*	5/16/2023
hCoV-19/Hong Kong/VK23013981/2023	EPI_ISL_18366381	HK.3	9/7/2023	China	Hong Kong		EG.5.1*	9/7/2023
hCoV-19/Hong Kong/VK23013966/2023	EPI_ISL_18366380	HK.3.2	9/25/2023	China	Hong Kong		EG.5.1*	9/25/2023
hCoV-19/Hong Kong/VK23013908/2023	EPI_ISL_18366379	HK.3	9/19/2023	China	Hong Kong		EG.5.1*	9/19/2023
hCoV-19/Hong Kong/VB23181221/2023	EPI_ISL_18366377	HK.3	9/30/2023	China	Hong Kong		EG.5.1*	9/30/2023
hCoV-19/Hong Kong/VB23168897/2023	EPI_ISL_18366372	HK.3.2	9/16/2023	China	Hong Kong		EG.5.1*	9/16/2023
hCoV-19/Shanghai/SCDC-XG09-13957/2023	EPI_ISL_18360331	FL.2.3	9/7/2023	China	Shanghai		XBB.1.9.1*	9/7/2023
hCoV-19/Shanghai/SCDC-HG0928-3658/2023	EPI_ISL_18360247	XBB.1.16.6	9/28/2023	China	Shanghai		XBB.1.16*	9/28/2023
hCoV-19/Shanghai/SCDC-HG0927-3640/2023	EPI_ISL_18360235	GK.1.1	9/25/2023	China	Shanghai		Others	9/25/2023
hCoV-19/Shanghai/SCDC-HG0925-3631/2023	EPI_ISL_18360227	GK.1.1	9/22/2023	China	Shanghai		Others	9/22/2023
hCoV-19/Shanghai/SCDC-HG0922-3602/2023	EPI_ISL_18360206	HK.3.9	9/20/2023	China	Shanghai		EG.5.1*	9/20/2023
hCoV-19/Shanghai/SCDC-HG0921-3589/2023	EPI_ISL_18360197	FL.15	9/19/2023	China	Shanghai		XBB.1.9.1*	9/19/2023
hCoV-19/Guangxi/GCDC-LB029/2023	EPI_ISL_18330851	BF.7.14	3/11/2023	China	Guangxi		BF.7.14*	3/11/2023
hCoV-19/Guangxi/GCDC-LB032/2023	EPI_ISL_18330791	BF.7.14	3/20/2023	China	Guangxi		BF.7.14*	3/20/2023
hCoV-19/Guangxi/GCDC-LB031/2023	EPI_ISL_18330790	BF.7.14	3/21/2023	China	Guangxi		BF.7.14*	3/21/2023
hCoV-19/Guangxi/GCDC-LB030/2023	EPI_ISL_18330789	BF.7.14	3/13/2023	China	Guangxi		BF.7.14*	3/13/2023
hCoV-19/Guangxi/GCDC-LB027/2023	EPI_ISL_18330787	BF.7.14	3/10/2023	China	Guangxi		BF.7.14*	3/10/2023
hCoV-19/Guangxi/GCDC-LB026/2023	EPI_ISL_18330786	BF.7.14	3/9/2023	China	Guangxi		BF.7.14*	3/9/2023
hCoV-19/Guangxi/GCDC-LB025/2023	EPI_ISL_18330785	BF.7.14	3/9/2023	China	Guangxi		BF.7.14*	3/9/2023
hCoV-19/Fujian/FCDC-NPqz131/2023	EPI_ISL_18330312	HK.3.9	9/20/2023	China	Fujian	Nanping	EG.5.1*	9/20/2023
hCoV-19/Guizhou/GZCDC-TR-07-033/2023	EPI_ISL_18330189	XBB.1.16	7/21/2023	China	Guizhou		XBB.1.16*	7/21/2023
hCoV-19/Shanghai/SCDC-XG09-13860/2023	EPI_ISL_18320833	FL.1.5.1	9/11/2023	China	Shanghai		XBB.1.9.1*	9/11/2023
hCoV-19/Shanghai/SCDC-XG09-13774/2023	EPI_ISL_18320784	FY.3.1	9/13/2023	China	Shanghai		XBB.1.22.1*	9/13/2023
hCoV-19/Shanghai/SCDC-JA_JAXGDN-090901/2023	EPI_ISL_18320767	EG.1	9/9/2023	China	Shanghai		Others	9/9/2023
hCoV-19/Shanghai/SCDC-HG0920-3579/2023	EPI_ISL_18320758	FL.1.5.1	9/18/2023	China	Shanghai		XBB.1.9.1*	9/18/2023
hCoV-19/Shanghai/SCDC-HG0919-3574/2023	EPI_ISL_18320754	GK.1.1	9/17/2023	China	Shanghai		Others	9/17/2023
hCoV-19/Shanghai/SCDC-HG0918-3564/2023	EPI_ISL_18320746	HV.1	9/16/2023	China	Shanghai		EG.5.1*	9/16/2023
hCoV-19/Shanghai/SCDC-HG0918-3559/2023	EPI_ISL_18320743	EG.1	9/16/2023	China	Shanghai		Others	9/16/2023
hCoV-19/Shanghai/SCDC-HG0917-3556/2023	EPI_ISL_18320740	EG.1	9/13/2023	China	Shanghai		Others	9/13/2023
hCoV-19/Shanghai/SCDC-HG0916-3551/2023	EPI_ISL_18320735	FL.15	9/14/2023	China	Shanghai		XBB.1.9.1*	9/14/2023
hCoV-19/Shanghai/SCDC-HG0915-3544/2023	EPI_ISL_18320728	HV.1	9/13/2023	China	Shanghai		EG.5.1*	9/13/2023
hCoV-19/Taiwan/CDC-F78935/2023	EPI_ISL_18320433	XBB.1.42	3/27/2023	China	Taiwan		Others	3/27/2023
hCoV-19/Taiwan/CDC-F78932/2023	EPI_ISL_18320432	BN.1.3.5	3/12/2023	China	Taiwan		BA.2.75*	3/12/2023
hCoV-19/Taiwan/CDC-F78918/2023	EPI_ISL_18320427	BA.5.2.1	1/19/2023	China	Taiwan		Others	1/19/2023
hCoV-19/Taiwan/CDC-F78916/2023	EPI_ISL_18320425	BN.1.3	1/14/2023	China	Taiwan		BA.2.75*	1/14/2023
hCoV-19/Taiwan/CDC-F79140/2023	EPI_ISL_18320416	BN.1.2	3/20/2023	China	Taiwan		BA.2.75*	3/20/2023
hCoV-19/Taiwan/CDC-F79126/2023	EPI_ISL_18320413	XBB.1.16.1	3/29/2023	China	Taiwan		XBB.1.16*	3/29/2023
hCoV-19/Taiwan/CDC-F78954/2023	EPI_ISL_18320405	FB.1	3/23/2023	China	Taiwan		Others	3/23/2023
hCoV-19/Taiwan/CDC-F78953/2023	EPI_ISL_18320404	FR.1	4/3/2023	China	Taiwan		BA.2.75*	4/3/2023
hCoV-19/Taiwan/CDC-F79149/2023	EPI_ISL_18313259	XBF	4/4/2023	China	Taiwan		Others	4/4/2023
hCoV-19/Taiwan/CDC-F79220/2023	EPI_ISL_18313242	FB.1	4/4/2023	China	Taiwan		Others	4/4/2023
hCoV-19/Qinghai/QHCDC-ETYY-354/2023	EPI_ISL_18313227	HK.3	9/16/2023	China	Qinghai		EG.5.1*	9/16/2023
hCoV-19/Taiwan/CDC-F79304/2023	EPI_ISL_18313173	FB.1	4/5/2023	China	Taiwan		Others	4/5/2023
hCoV-19/Hubei/HCDC-JZ2991/2023	EPI_ISL_18313137	HK.8.1	9/18/2023	China	Hubei	Jingzhou	EG.5.1*	9/18/2023
hCoV-19/Gansu/BYCDC200/2023	EPI_ISL_18313095	HK.1	9/11/2023	China	Gansu	Baiyin	EG.5.1*	9/11/2023
hCoV-19/Gansu/BYCDC189/2023	EPI_ISL_18313084	EG.5.1.1	9/11/2023	China	Gansu	Baiyin	EG.5.1*	9/11/2023
hCoV-19/Gansu/BYCDC185/2023	EPI_ISL_18313080	HK.32	9/20/2023	China	Gansu	Baiyin	EG.5.1*	9/20/2023
hCoV-19/Hong Kong/VB23156942/2023	EPI_ISL_18306762	EG.5.1.1	9/1/2023	China	Hong Kong		EG.5.1*	9/1/2023
hCoV-19/Hong Kong/VB23154875/2023	EPI_ISL_18306758	HK.3	9/1/2023	China	Hong Kong		EG.5.1*	9/1/2023
hCoV-19/Sichuan/MSCDC-4-5/2023	EPI_ISL_18304249	GY.1.1	9/8/2023	China	Sichuan	Meishan	XBB.1.16*	9/8/2023
hCoV-19/Fujian/FCDC-FZCX0295/2023	EPI_ISL_18304187	HK.27.1	9/12/2023	China	Fujian	Fuzhou	EG.5.1*	9/12/2023
hCoV-19/Henan/JZCDC-157/2023	EPI_ISL_18300586	FL.4	8/13/2023	China	Henan	Jiaozuo	XBB.1.9.1*	8/13/2023
hCoV-19/Henan/JZCDC-154/2023	EPI_ISL_18300583	FL.4	8/4/2023	China	Henan	Jiaozuo	XBB.1.9.1*	8/4/2023
