strain,lineage,country,province,date
EPI_ISL_16599045,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599044,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599043,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16599040,BA.5.2.49,China,Anhui,12/1/2022
EPI_ISL_16599038,BF.7.14,China,Anhui,12/1/2022
EPI_ISL_16327459,BQ.1.1.11,China,Shanghai,12/1/2022
EPI_ISL_16298561,BA.5.2.34,China,Taiwan,12/1/2022
EPI_ISL_16077183,DQ.1,China,Hong Kong,12/1/2022
EPI_ISL_16077177,BA.5.2.13,China,Hong Kong,12/1/2022
EPI_ISL_16077176,BF.7,China,Hong Kong,12/1/2022
EPI_ISL_17581657,BA.5.2.1,China,Hong Kong,12/2/2022
EPI_ISL_17489531,BF.7.14.1,China,Fujian,12/2/2022
EPI_ISL_17086547,BN.1.3,China,Others,12/2/2022
EPI_ISL_17086546,BN.1.3,China,Others,12/2/2022
EPI_ISL_16750667,BN.1.2,China,Yunnan,12/2/2022
EPI_ISL_16750666,BN.1.3,China,Yunnan,12/2/2022
EPI_ISL_16709485,BF.7.14,China,Others,12/2/2022
EPI_ISL_16709253,BF.7.14,China,Others,12/2/2022
EPI_ISL_16641618,BF.7.14,China,Yunnan,12/2/2022
EPI_ISL_16635260,BA.5.2.49,China,Others,12/2/2022
EPI_ISL_16634663,BF.7.14,China,Shanghai,12/2/2022
EPI_ISL_16634581,BA.5.2.48,China,Shanghai,12/2/2022
EPI_ISL_16634580,BA.5.2.49,China,Shanghai,12/2/2022
EPI_ISL_16634557,BF.7.14,China,Shanghai,12/2/2022
EPI_ISL_16634554,BF.7.14,China,Shanghai,12/2/2022
EPI_ISL_16633873,BA.5.2.49,China,Anhui,12/2/2022
EPI_ISL_16614020,BF.7.14,China,Others,12/2/2022
EPI_ISL_16614018,BA.5.2.49,China,Others,12/2/2022
EPI_ISL_16614015,BF.7.14,China,Others,12/2/2022
EPI_ISL_16614014,BA.5.2.49,China,Others,12/2/2022
EPI_ISL_16610665,BF.7.14,China,Fujian,12/2/2022
EPI_ISL_16610660,BF.7.14,China,Fujian,12/2/2022
EPI_ISL_16609778,BF.7.14,China,Anhui,12/2/2022
EPI_ISL_16327441,BA.5.2.48,China,Shanghai,12/2/2022
EPI_ISL_16306930,BF.7.14,China,Sichuan,12/2/2022
EPI_ISL_16306928,BF.7.14,China,Sichuan,12/2/2022
EPI_ISL_16077185,CH.1.1.3,China,Hong Kong,12/2/2022
EPI_ISL_17492924,BF.7.14.4,China,Sichuan,12/2/2022
EPI_ISL_17492926,BF.7.14.4,China,Sichuan,12/2/2022
EPI_ISL_17487692,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_17487691,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_17487690,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_17487689,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_17487688,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_17086548,BN.1.3,China,Others,12/3/2022
EPI_ISL_16750668,BN.1.3,China,Yunnan,12/3/2022
EPI_ISL_16709251,BF.7.14,China,Others,12/3/2022
EPI_ISL_16641626,BN.1.3,China,Yunnan,12/3/2022
EPI_ISL_16641622,BN.1.3,China,Yunnan,12/3/2022
EPI_ISL_16641621,BN.1.3,China,Yunnan,12/3/2022
EPI_ISL_16635264,BA.5.2.48,China,Others,12/3/2022
EPI_ISL_16635261,BA.5.2.49,China,Others,12/3/2022
EPI_ISL_16634673,BF.7.14,China,Shanghai,12/3/2022
EPI_ISL_16634650,BF.7.14,China,Shanghai,12/3/2022
EPI_ISL_16634629,BF.7.14,China,Shanghai,12/3/2022
EPI_ISL_16634615,BF.7.14,China,Shanghai,12/3/2022
EPI_ISL_16634600,BA.5.2.48,China,Shanghai,12/3/2022
EPI_ISL_16617204,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_16617198,BA.5.2.49,China,Hubei,12/3/2022
EPI_ISL_16283977,BA.5.2.49,China,Fujian,12/3/2022
EPI_ISL_17581924,CM.12,China,Hong Kong,12/4/2022
EPI_ISL_17581665,BA.5.2.1,China,Hong Kong,12/4/2022
EPI_ISL_17489518,BF.7.14.1,China,Fujian,12/4/2022
EPI_ISL_17487136,BF.7.14.1,China,Hubei,12/4/2022
EPI_ISL_16635423,BF.7.14,China,Zhejiang,12/4/2022
EPI_ISL_16617123,BF.7.14.1,China,Hubei,12/4/2022
EPI_ISL_16614074,BF.7.14,China,Others,12/4/2022
EPI_ISL_17489648,BA.5.1.32,China,Fujian,12/5/2022
EPI_ISL_17489513,BA.5.1.32,China,Fujian,12/5/2022
EPI_ISL_17489512,BA.5.2.49,China,Fujian,12/5/2022
EPI_ISL_17489509,BF.7.14.1,China,Fujian,12/5/2022
EPI_ISL_16636017,BF.7.14,China,Xinjiang,12/5/2022
EPI_ISL_16636015,BF.7.14,China,Xinjiang,12/5/2022
EPI_ISL_16636008,BF.7.14,China,Xinjiang,12/5/2022
EPI_ISL_16635431,BF.7.14,China,Zhejiang,12/5/2022
EPI_ISL_16635072,BF.7.14,China,Others,12/5/2022
EPI_ISL_16633880,BA.5.2.49,China,Anhui,12/5/2022
EPI_ISL_16610707,BA.5.1,China,Fujian,12/5/2022
EPI_ISL_16610691,BF.7.14,China,Fujian,12/5/2022
EPI_ISL_16610690,BF.7.14,China,Fujian,12/5/2022
EPI_ISL_16610688,BA.5.2.49,China,Fujian,12/5/2022
EPI_ISL_16610687,BA.5.1,China,Fujian,12/5/2022
EPI_ISL_17581926,CM.12,China,Hong Kong,12/6/2022
EPI_ISL_16709256,BF.7.14,China,Others,12/6/2022
EPI_ISL_16709255,BF.7.14,China,Others,12/6/2022
EPI_ISL_16635582,BF.7.14,China,Zhejiang,12/6/2022
EPI_ISL_16635074,BA.5.2.48,China,Others,12/6/2022
EPI_ISL_16635073,BF.7.14,China,Others,12/6/2022
EPI_ISL_16635062,BF.7.14,China,Others,12/6/2022
EPI_ISL_16635060,BA.5.2.48,China,Others,12/6/2022
EPI_ISL_16635059,BF.7.14,China,Others,12/6/2022
EPI_ISL_16635058,BF.7.14,China,Others,12/6/2022
EPI_ISL_16634700,BA.5.2.49,China,Shanghai,12/6/2022
EPI_ISL_16634698,BF.7.14,China,Shanghai,12/6/2022
EPI_ISL_16327551,XBB.1,China,Shanghai,12/6/2022
EPI_ISL_16283995,BF.7.14,China,Beijing,12/6/2022
EPI_ISL_17031540,BA.5.2.49,China,Hebei,12/7/2022
EPI_ISL_16636174,BF.7.14,China,Others,12/7/2022
EPI_ISL_16633895,BA.5.2.49,China,Anhui,12/7/2022
EPI_ISL_16633894,BF.7.14,China,Anhui,12/7/2022
EPI_ISL_16633892,BA.5.2.49,China,Anhui,12/7/2022
EPI_ISL_16376728,BF.7,China,Hong Kong,12/7/2022
EPI_ISL_17581931,CM.12,China,Hong Kong,12/8/2022
EPI_ISL_16635592,BF.7.14,China,Zhejiang,12/8/2022
EPI_ISL_16634708,BF.7.14,China,Shanghai,12/8/2022
EPI_ISL_16614081,BF.7.14,China,Others,12/8/2022
EPI_ISL_16614079,BA.5.2.49,China,Others,12/8/2022
EPI_ISL_17581985,CM.12,China,Hong Kong,12/9/2022
EPI_ISL_17581933,CM.12,China,Hong Kong,12/9/2022
EPI_ISL_16750675,BN.1.2,China,Yunnan,12/9/2022
EPI_ISL_16750674,BN.1.3,China,Yunnan,12/9/2022
EPI_ISL_16750672,BN.1.2,China,Yunnan,12/9/2022
EPI_ISL_16750669,BN.1.2,China,Yunnan,12/9/2022
EPI_ISL_16376723,BQ.1.1.14,China,Hong Kong,12/9/2022
EPI_ISL_16327631,XBB.1.5,China,Shanghai,12/9/2022
EPI_ISL_16327536,BQ.1.1.3,China,Shanghai,12/9/2022
EPI_ISL_16327525,XBB.1,China,Shanghai,12/9/2022
EPI_ISL_16350901,BA.5.1,China,Beijing,12/9/2022
EPI_ISL_16635269,BF.7.14,China,Others,12/10/2022
EPI_ISL_16376737,BQ.1.1.14,China,Hong Kong,12/10/2022
EPI_ISL_16376733,BF.7,China,Hong Kong,12/10/2022
EPI_ISL_16376722,BF.7,China,Hong Kong,12/10/2022
EPI_ISL_16327565,BQ.1.1,China,Shanghai,12/10/2022
EPI_ISL_16327529,BA.5.2.35,China,Shanghai,12/10/2022
EPI_ISL_17581684,BF.7.14,China,Hong Kong,12/11/2022
EPI_ISL_17581681,BA.5.2.13,China,Hong Kong,12/11/2022
EPI_ISL_17086556,BF.7.14,China,Others,12/11/2022
EPI_ISL_16758266,BA.5.2.49,China,Others,12/11/2022
EPI_ISL_16634341,BF.7.14,China,Shanghai,12/11/2022
EPI_ISL_16327604,BQ.1,China,Shanghai,12/11/2022
EPI_ISL_16327596,BN.1.3.1,China,Shanghai,12/11/2022
EPI_ISL_16327594,CH.1.1.3,China,Shanghai,12/11/2022
EPI_ISL_16327562,XBB.1,China,Shanghai,12/11/2022
EPI_ISL_17581685,BA.5.2.1,China,Hong Kong,12/12/2022
EPI_ISL_16968112,BF.7.14,China,Anhui,12/12/2022
EPI_ISL_16376711,BF.7,China,Hong Kong,12/12/2022
EPI_ISL_16327595,CH.1.1.1,China,Shanghai,12/12/2022
EPI_ISL_16327590,CH.1.1.3,China,Shanghai,12/12/2022
EPI_ISL_17493158,DY.1,China,Sichuan,12/13/2022
EPI_ISL_17086562,BF.7.14,China,Others,12/13/2022
EPI_ISL_17031555,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031554,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031552,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031550,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031549,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031546,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_17031544,BF.7.14,China,Hebei,12/13/2022
EPI_ISL_16713332,BA.5.2.48,China,Others,12/13/2022
EPI_ISL_16711991,BF.7.14,China,Guangdong,12/13/2022
EPI_ISL_16711716,BA.5.2.48,China,Guangdong,12/13/2022
EPI_ISL_16604406,BA.5.2.49,China,Others,12/13/2022
EPI_ISL_16376710,BA.5.2.6,China,Hong Kong,12/13/2022
EPI_ISL_16253344,BA.5.2.27,China,Taiwan,12/13/2022
EPI_ISL_16350922,BA.5.1,China,Beijing,12/13/2022
EPI_ISL_17487826,BF.7.14,China,Hubei,12/14/2022
EPI_ISL_17031558,BA.5.2.49,China,Hebei,12/14/2022
EPI_ISL_17031557,BF.7.14,China,Hebei,12/14/2022
EPI_ISL_16597024,BF.7.14.1,China,Jiangxi,12/14/2022
EPI_ISL_16481000,BA.5.2.48,China,Zhejiang,12/14/2022
EPI_ISL_16327646,BN.1.3.1,China,Shanghai,12/14/2022
EPI_ISL_16327608,BQ.1.28,China,Shanghai,12/14/2022
EPI_ISL_17581941,CM.12,China,Hong Kong,12/15/2022
EPI_ISL_16750676,BN.1.2,China,Yunnan,12/15/2022
EPI_ISL_16635579,BA.5.1,China,Zhejiang,12/15/2022
EPI_ISL_16635487,BF.7.14,China,Zhejiang,12/15/2022
EPI_ISL_16376681,BN.1.2,China,Hong Kong,12/15/2022
EPI_ISL_16327645,BN.1.3,China,Shanghai,12/15/2022
EPI_ISL_16327600,XBB.1.5,China,Shanghai,12/15/2022
EPI_ISL_18070620,BA.5.2.49,China,Others,12/16/2022
EPI_ISL_16719821,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16719818,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16713344,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16713342,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16713340,BA.5.2.49,China,Others,12/16/2022
EPI_ISL_16713336,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16635580,BA.5.1,China,Zhejiang,12/16/2022
EPI_ISL_16635130,BA.5.2.48,China,Others,12/16/2022
EPI_ISL_16597059,BF.7.14,China,Jiangxi,12/16/2022
EPI_ISL_16597055,BF.7.14,China,Jiangxi,12/16/2022
EPI_ISL_16597026,DY.4,China,Jiangxi,12/16/2022
EPI_ISL_16595769,BA.5.2.48,China,Anhui,12/16/2022
EPI_ISL_16481350,BF.7.14,China,Zhejiang,12/16/2022
EPI_ISL_16376680,BN.1.3,China,Hong Kong,12/16/2022
EPI_ISL_16327642,BF.7.15,China,Shanghai,12/16/2022
EPI_ISL_17685094,BA.5.2.1,China,Hong Kong,12/17/2022
EPI_ISL_17581942,CM.12,China,Hong Kong,12/17/2022
EPI_ISL_17581695,BA.5.2.1,China,Hong Kong,12/17/2022
EPI_ISL_17581694,BA.5.2.1,China,Hong Kong,12/17/2022
EPI_ISL_16750679,BR.2.1,China,Yunnan,12/17/2022
EPI_ISL_16702223,BA.5.2.48,China,Gansu,12/17/2022
EPI_ISL_16617220,BF.7.14,China,Hubei,12/17/2022
EPI_ISL_16327664,BN.1.3.1,China,Shanghai,12/17/2022
EPI_ISL_16327661,BN.1.3,China,Shanghai,12/17/2022
EPI_ISL_16327598,CH.1.1.1,China,Shanghai,12/17/2022
EPI_ISL_16283961,BF.7.14,China,Fujian,12/17/2022
EPI_ISL_17685096,BA.5.2,China,Hong Kong,12/18/2022
EPI_ISL_17581696,BF.7,China,Hong Kong,12/18/2022
EPI_ISL_17581252,BQ.1.2.1,China,Hong Kong,12/18/2022
EPI_ISL_17487822,BF.7.14.1,China,Hubei,12/18/2022
EPI_ISL_16376691,BN.1.3.1,China,Hong Kong,12/18/2022
EPI_ISL_16327609,XBB.1,China,Shanghai,12/18/2022
EPI_ISL_17785518,BF.7.14,China,Others,12/19/2022
EPI_ISL_17785516,DY.1,China,Others,12/19/2022
EPI_ISL_17581705,BA.5.2,China,Hong Kong,12/19/2022
EPI_ISL_17581702,CP.8,China,Hong Kong,12/19/2022
EPI_ISL_17581701,BA.5.2.1,China,Hong Kong,12/19/2022
EPI_ISL_17088697,BA.5.2.49,China,Others,12/19/2022
EPI_ISL_17088670,BA.5.2.48,China,Others,12/19/2022
EPI_ISL_17031562,BA.5.2.48,China,Hebei,12/19/2022
EPI_ISL_16750701,BA.5.2.48,China,Yunnan,12/19/2022
EPI_ISL_16750700,BR.2.1,China,Yunnan,12/19/2022
EPI_ISL_16750699,BR.2.1,China,Yunnan,12/19/2022
EPI_ISL_16750698,BA.5.2.48,China,Yunnan,12/19/2022
EPI_ISL_16750682,BA.5.2.48,China,Yunnan,12/19/2022
EPI_ISL_16711701,BA.5.2.48,China,Guangdong,12/19/2022
EPI_ISL_16635682,BF.7.14,China,Zhejiang,12/19/2022
EPI_ISL_16635276,BA.5.2.48,China,Others,12/19/2022
EPI_ISL_16635275,BA.5.2.48,China,Others,12/19/2022
EPI_ISL_16635272,BA.5.2.48,China,Others,12/19/2022
EPI_ISL_16608453,BA.5.2.49,China,Henan,12/19/2022
EPI_ISL_16598681,BF.7.14,China,Others,12/19/2022
EPI_ISL_16468034,BA.5.2.48,China,Beijing,12/19/2022
EPI_ISL_16468031,BF.7.14,China,Beijing,12/19/2022
EPI_ISL_17581253,BQ.1.2.1,China,Hong Kong,12/20/2022
EPI_ISL_17487814,BF.7.14,China,Hubei,12/20/2022
EPI_ISL_17086584,BF.7.14,China,Others,12/20/2022
EPI_ISL_17086583,BF.7.14,China,Others,12/20/2022
EPI_ISL_16713345,BA.5.2.49,China,Others,12/20/2022
EPI_ISL_16713314,BN.1.2,China,Others,12/20/2022
EPI_ISL_16698452,BF.7.14,China,Jiangsu,12/20/2022
EPI_ISL_16604416,BA.5.2,China,Others,12/20/2022
EPI_ISL_16481864,BF.7.14,China,Others,12/20/2022
EPI_ISL_16350943,BA.5.1,China,Beijing,12/20/2022
EPI_ISL_16350931,BA.5.1,China,Beijing,12/20/2022
EPI_ISL_17031563,BA.5.2.49,China,Hebei,12/21/2022
EPI_ISL_16937133,BF.7.14,China,Shanxi,12/21/2022
EPI_ISL_16712137,BF.7.14,China,Guangdong,12/21/2022
EPI_ISL_16711883,BF.7.14,China,Guangdong,12/21/2022
EPI_ISL_16641640,BA.5.2.48,China,Yunnan,12/21/2022
EPI_ISL_16636181,BA.5.2.48,China,Others,12/21/2022
EPI_ISL_16636180,BA.5.2.48,China,Others,12/21/2022
EPI_ISL_16636179,BF.7.14,China,Others,12/21/2022
EPI_ISL_16636176,BA.5.2.48,China,Others,12/21/2022
EPI_ISL_16636076,BA.5.2,China,Xinjiang,12/21/2022
EPI_ISL_16634809,BA.5.2.48,China,Shanghai,12/21/2022
EPI_ISL_16611196,DY.2,China,Anhui,12/21/2022
EPI_ISL_16608441,BA.5.2.48,China,Henan,12/21/2022
EPI_ISL_16608424,BF.7.14,China,Henan,12/21/2022
EPI_ISL_16604487,BA.5.1,China,Others,12/21/2022
EPI_ISL_16604477,BF.7.14,China,Others,12/21/2022
EPI_ISL_17493022,DY.1,China,Others,12/21/2022
EPI_ISL_17088738,BA.5.2.48,China,Others,12/22/2022
EPI_ISL_16853798,BA.5.2.48,China,Shanxi,12/22/2022
EPI_ISL_16698314,BA.5.2.48,China,Others,12/22/2022
EPI_ISL_16636184,BA.5.2.48,China,Others,12/22/2022
EPI_ISL_16636183,BF.7.14,China,Others,12/22/2022
EPI_ISL_16636078,BA.5.2,China,Xinjiang,12/22/2022
EPI_ISL_16635282,BA.5.2.48,China,Others,12/22/2022
EPI_ISL_16634870,BA.5.2.48,China,Shanghai,12/22/2022
EPI_ISL_16634837,BF.7.14,China,Shanghai,12/22/2022
EPI_ISL_16604510,BF.7.14,China,Others,12/22/2022
EPI_ISL_16598332,BA.5.2.48,China,Heilongjiang,12/22/2022
EPI_ISL_16481868,BQ.1.1,China,Others,12/22/2022
EPI_ISL_16334622,BA.5.2.48,China,Fujian,12/22/2022
EPI_ISL_16327605,XBB.1.2,China,Shanghai,12/22/2022
EPI_ISL_17490675,DY.1,China,Zhejiang,12/22/2022
EPI_ISL_17490683,BA.5.1.32,China,Zhejiang,12/22/2022
EPI_ISL_17488697,DY.1.1,China,Fujian,12/22/2022
EPI_ISL_17489487,BF.7.14.1,China,Fujian,12/23/2022
EPI_ISL_16711744,BF.7.14,China,Guangdong,12/23/2022
EPI_ISL_16709478,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16709476,BF.7.14,China,Others,12/23/2022
EPI_ISL_16636082,BF.7.14,China,Xinjiang,12/23/2022
EPI_ISL_16636036,BF.7.14,China,Xinjiang,12/23/2022
EPI_ISL_16635067,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16635066,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16635064,BF.7.14,China,Others,12/23/2022
EPI_ISL_16635063,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16634814,BA.5.2.48,China,Shanghai,12/23/2022
EPI_ISL_16634813,BF.7.14,China,Shanghai,12/23/2022
EPI_ISL_16610696,BF.7.14,China,Fujian,12/23/2022
EPI_ISL_16598713,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16598711,BA.5.2.49,China,Others,12/23/2022
EPI_ISL_16598708,BA.5.2.49,China,Others,12/23/2022
EPI_ISL_16598688,BA.5.2.48,China,Others,12/23/2022
EPI_ISL_16598347,BA.5.2.48,China,Heilongjiang,12/23/2022
EPI_ISL_16595773,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16468026,BA.5.1,China,Beijing,12/23/2022
EPI_ISL_16438304,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16438303,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16438302,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16438301,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16438300,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_16438299,BF.7.14,China,Anhui,12/23/2022
EPI_ISL_17805439,BF.7.14.4,China,Others,12/24/2022
EPI_ISL_17581957,BN.1.3.9,China,Hong Kong,12/24/2022
EPI_ISL_17489488,BF.7.14.1,China,Fujian,12/24/2022
EPI_ISL_16711694,BF.7.14,China,Guangdong,12/24/2022
EPI_ISL_16635077,BA.5.2.49,China,Others,12/24/2022
EPI_ISL_16634817,BA.5.2.48,China,Shanghai,12/24/2022
EPI_ISL_16610695,BF.7.14,China,Fujian,12/24/2022
EPI_ISL_16604437,BN.1.2,China,Others,12/24/2022
EPI_ISL_17492864,BF.7.14,China,Sichuan,12/24/2022
EPI_ISL_17104828,BF.7.14.7,China,Sichuan,12/25/2022
EPI_ISL_17088742,BA.5.2.49,China,Others,12/25/2022
EPI_ISL_16711789,BF.7.14,China,Guangdong,12/25/2022
EPI_ISL_16641652,BA.5.2.48,China,Yunnan,12/25/2022
EPI_ISL_16641645,BA.5.2.48,China,Yunnan,12/25/2022
EPI_ISL_16636191,BF.7.14,China,Others,12/25/2022
EPI_ISL_16636189,BA.5.2.48,China,Others,12/25/2022
EPI_ISL_16636187,BF.7.14,China,Others,12/25/2022
EPI_ISL_16635140,BA.5.2.49,China,Others,12/25/2022
EPI_ISL_16635139,BA.5.2.49,China,Others,12/25/2022
EPI_ISL_16635135,BA.5.2.49,China,Others,12/25/2022
EPI_ISL_16634886,BA.5.2.48,China,Shanghai,12/25/2022
EPI_ISL_16616822,DY.4,China,Hubei,12/25/2022
EPI_ISL_17088836,BA.5.2.48,China,Others,12/26/2022
EPI_ISL_17088726,BA.5.2.48,China,Others,12/26/2022
EPI_ISL_16711783,BF.7.14,China,Guangdong,12/26/2022
EPI_ISL_16698283,BA.5.2.48,China,Others,12/26/2022
EPI_ISL_16636129,BA.5.2.49,China,Xinjiang,12/26/2022
EPI_ISL_16635701,BA.5.2.48,China,Zhejiang,12/26/2022
EPI_ISL_16635673,BA.5.2.48,China,Zhejiang,12/26/2022
EPI_ISL_16604760,BA.5.2.49,China,Others,12/26/2022
EPI_ISL_16604455,BF.7.14,China,Others,12/26/2022
EPI_ISL_16598610,DY.4,China,Sichuan,12/26/2022
EPI_ISL_16534697,BA.5.2.1,China,Taiwan,12/26/2022
EPI_ISL_16528788,BA.5.2.27,China,Taiwan,12/26/2022
EPI_ISL_16468040,BA.5.1,China,Beijing,12/26/2022
EPI_ISL_16390370,BA.5.2.48,China,Others,12/26/2022
EPI_ISL_16390369,BA.5.2.49,China,Others,12/26/2022
EPI_ISL_17581255,BQ.1.2.1,China,Hong Kong,12/27/2022
EPI_ISL_17492840,DY.4,China,Sichuan,12/27/2022
EPI_ISL_17487779,BF.7.14.1,China,Hubei,12/27/2022
EPI_ISL_17487249,BF.7.14.1,China,Hubei,12/27/2022
EPI_ISL_17104824,DY.4,China,Sichuan,12/27/2022
EPI_ISL_17086597,BF.7.14,China,Others,12/27/2022
EPI_ISL_17086576,BF.7.14,China,Others,12/27/2022
EPI_ISL_16968097,BA.5.2.49,China,Anhui,12/27/2022
EPI_ISL_16853801,BF.7.14,China,Shanxi,12/27/2022
EPI_ISL_16713266,BN.1.2,China,Others,12/27/2022
EPI_ISL_16713264,BN.1.2,China,Others,12/27/2022
EPI_ISL_16712105,BA.5.2.48,China,Guangdong,12/27/2022
EPI_ISL_16711851,BA.5.2.48,China,Guangdong,12/27/2022
EPI_ISL_16709081,BA.5.2.48,China,Henan,12/27/2022
EPI_ISL_16709079,BA.5.2.48,China,Henan,12/27/2022
EPI_ISL_16709078,BA.5.2.49,China,Henan,12/27/2022
EPI_ISL_16709069,BA.5.2.48,China,Henan,12/27/2022
EPI_ISL_16709068,BA.5.2.48,China,Henan,12/27/2022
EPI_ISL_16709067,BA.5.2.48,China,Henan,12/27/2022
EPI_ISL_16636193,BA.5.2.48,China,Others,12/27/2022
EPI_ISL_16636156,BA.5.2.49,China,Xinjiang,12/27/2022
EPI_ISL_16636142,BA.5.2.49,China,Xinjiang,12/27/2022
EPI_ISL_16636126,BA.5.2,China,Xinjiang,12/27/2022
EPI_ISL_16636125,BA.5.2,China,Xinjiang,12/27/2022
EPI_ISL_16636088,BA.5.2.49,China,Xinjiang,12/27/2022
EPI_ISL_16635289,BA.5.2.48,China,Others,12/27/2022
EPI_ISL_16635287,BF.7.14,China,Others,12/27/2022
EPI_ISL_16634977,BA.5.2.48,China,Shanghai,12/27/2022
EPI_ISL_16634973,BA.5.2.48,China,Shanghai,12/27/2022
EPI_ISL_16617080,BF.7.14.1,China,Hubei,12/27/2022
EPI_ISL_16616847,BF.7.14.1,China,Hubei,12/27/2022
EPI_ISL_16604748,BF.7.14,China,Others,12/27/2022
EPI_ISL_16604550,BF.7,China,Others,12/27/2022
EPI_ISL_16604541,BF.7.14,China,Others,12/27/2022
EPI_ISL_16604475,BA.5.2.49,China,Others,12/27/2022
EPI_ISL_16598360,BA.5.2.48,China,Heilongjiang,12/27/2022
EPI_ISL_16524101,BQ.1.1.14,China,Hong Kong,12/27/2022
EPI_ISL_16481855,BF.7.14,China,Others,12/27/2022
EPI_ISL_16481844,BA.5.2.49,China,Others,12/27/2022
EPI_ISL_17736126,BF.7.14,China,Zhejiang,12/28/2022
EPI_ISL_17581969,CM.12,China,Hong Kong,12/28/2022
EPI_ISL_17581257,BA.5.2,China,Hong Kong,12/28/2022
