Unnamed: 0	Virus Strain Name	Accession_ID	Lineage	Sample_Collection_Date	country	province	city	merged_lineage	date
553	hCoV-19/Shanghai/SJTU-234821/2022	EPI_ISL_16327441	BA.5.2.48	12/2/2022	China	Shanghai		BA.5.2*	2022-12-02
555	hCoV-19/Sichuan/SCDCP-4416/2022	EPI_ISL_16306930	BF.7.14	12/2/2022	China	Sichuan	Chengdu	BF.7.14*	2022-12-02
557	hCoV-19/Sichuan/SCDCP-4408/2022	EPI_ISL_16306928	BF.7.14	12/2/2022	China	Sichuan	Chengdu	BF.7.14*	2022-12-02
565	hCoV-19/Hong Kong/VZ22359134/2022	EPI_ISL_16077185	CH.1.1.3	12/2/2022	China	Hong Kong		BA.2.75*	2022-12-02
566	SARS-CoV-2/human/CHN/4416/2022	EPI_ISL_17492924	BF.7.14.4	12/2/2022	China	Sichuan		BF.7.14*	2022-12-02
568	SARS-CoV-2/human/CHN/4408/2022	EPI_ISL_17492926	BF.7.14.4	12/2/2022	China	Sichuan		BF.7.14*	2022-12-02
594	hCoV-19/Hubei/HCDC-WH0064/2022	EPI_ISL_17487692	BA.5.2.49	12/3/2022	China	Hubei	Wuhan	BA.5.2*	2022-12-03
595	hCoV-19/Hubei/HCDC-WH0065/2022	EPI_ISL_17487691	BA.5.2.49	12/3/2022	China	Hubei	Wuhan	BA.5.2*	2022-12-03
596	hCoV-19/Hubei/HCDC-WH0066/2022	EPI_ISL_17487690	BA.5.2.49	12/3/2022	China	Hubei	Wuhan	BA.5.2*	2022-12-03
597	hCoV-19/Hubei/HCDC-WH0067/2022	EPI_ISL_17487689	BA.5.2.49	12/3/2022	China	Hubei	Wuhan	BA.5.2*	2022-12-03
598	hCoV-19/Hubei/HCDC-WH0068/2022	EPI_ISL_17487688	BA.5.2.49	12/3/2022	China	Hubei	Wuhan	BA.5.2*	2022-12-03
607	hCoV-19/Guangxi/FCG-120801/2022	EPI_ISL_17086548	BN.1.3	12/3/2022	China	Guangxi	Fangchenggang	BA.2.75*	2022-12-03
608	hCoV-19/Yunnan/YCDC-16/2022	EPI_ISL_16750668	BN.1.3	12/3/2022	China	Yunnan		BA.2.75*	2022-12-03
613	hCoV-19/Shaanxi/SXCDC-YA006/2022	EPI_ISL_16709251	BF.7.14	12/3/2022	China	Shaanxi	Yanan	BF.7.14*	2022-12-03
614	hCoV-19/Yunnan/IVDC-1376/2022	EPI_ISL_16641626	BN.1.3	12/3/2022	China	Yunnan	Honghe	BA.2.75*	2022-12-03
618	hCoV-19/Yunnan/IVDC-1372/2022	EPI_ISL_16641622	BN.1.3	12/3/2022	China	Yunnan	Honghe	BA.2.75*	2022-12-03
619	hCoV-19/Yunnan/IVDC-1371/2022	EPI_ISL_16641621	BN.1.3	12/3/2022	China	Yunnan	Honghe	BA.2.75*	2022-12-03
626	hCoV-19/Inner Mongolia/IVDC-1238/2022	EPI_ISL_16635264	BA.5.2.48	12/3/2022	China	Inner Mongolia	Chifeng	BA.5.2*	2022-12-03
627	hCoV-19/Inner Mongolia/IVDC-1235/2022	EPI_ISL_16635261	BA.5.2.49	12/3/2022	China	Inner Mongolia	Chifeng	BA.5.2*	2022-12-03
649	hCoV-19/Shanghai/IVDC-1780/2022	EPI_ISL_16634673	BF.7.14	12/3/2022	China	Shanghai	Minhang	BF.7.14*	2022-12-03
665	hCoV-19/Shanghai/IVDC-1757/2022	EPI_ISL_16634650	BF.7.14	12/3/2022	China	Shanghai	Pudong	BF.7.14*	2022-12-03
686	hCoV-19/Shanghai/IVDC-1736/2022	EPI_ISL_16634629	BF.7.14	12/3/2022	China	Shanghai	Yangpu	BF.7.14*	2022-12-03
700	hCoV-19/Shanghai/IVDC-1722/2022	EPI_ISL_16634615	BF.7.14	12/3/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-03
715	hCoV-19/Shanghai/IVDC-1707/2022	EPI_ISL_16634600	BA.5.2.48	12/3/2022	China	Shanghai	Songjiang	BA.5.2*	2022-12-03
723	hCoV-19/Hubei/HCDC-HS66/2022	EPI_ISL_16617204	BA.5.2.49	12/3/2022	China	Hubei	Huangshi	BA.5.2*	2022-12-03
726	hCoV-19/Hubei/HCDC-HG63/2022	EPI_ISL_16617198	BA.5.2.49	12/3/2022	China	Hubei	Huanggang	BA.5.2*	2022-12-03
741	hCoV-19/Fujian/FPCDCP-2693/2022	EPI_ISL_16283977	BA.5.2.49	12/3/2022	China	Fujian	Ningde	BA.5.2*	2022-12-03
759	hCoV-19/Hong Kong/HK-HKPU-PUN537274173/2022	EPI_ISL_17581924	CM.12	12/4/2022	China	Hong Kong		Others	2022-12-04
760	hCoV-19/Hong Kong/HK-HKPU-PUN534031261/2022	EPI_ISL_17581665	BA.5.2.1	12/4/2022	China	Hong Kong		BA.5.2*	2022-12-04
770	hCoV-19/Fujian/FCDC-FJFZLG5272/2022	EPI_ISL_17489518	BF.7.14.1	12/4/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-04
773	hCoV-19/Hubei/HCDC-0071/2022	EPI_ISL_17487136	BF.7.14.1	12/4/2022	China	Hubei	Xiaogan	BF.7.14*	2022-12-04
801	hCoV-19/Zhejiang/IVDC-719/2022	EPI_ISL_16635423	BF.7.14	12/4/2022	China	Zhejiang	Hangzhou	BF.7.14*	2022-12-04
809	hCoV-19/Hubei/HCDC-XG71/2022	EPI_ISL_16617123	BF.7.14.1	12/4/2022	China	Hubei	Xiaogan	BF.7.14*	2022-12-04
814	hCoV-19/Jilin/JLCDC-57571/2022	EPI_ISL_16614074	BF.7.14	12/4/2022	China	Jilin	Yanbian	BF.7.14*	2022-12-04
860	hCoV-19/Fujian/FCDC-FJ122374/2022	EPI_ISL_17489648	BA.5.1.32	12/5/2022	China	Fujian	Fuzhou	BA.5.2*	2022-12-05
863	hCoV-19/Fujian/FCDC-FJFZLG5281/2022	EPI_ISL_17489513	BA.5.1.32	12/5/2022	China	Fujian	Fuzhou	BA.5.2*	2022-12-05
864	hCoV-19/Fujian/FCDC-FJFZLG5282/2022	EPI_ISL_17489512	BA.5.2.49	12/5/2022	China	Fujian	Fuzhou	BA.5.2*	2022-12-05
867	hCoV-19/Fujian/FCDC-FJFZLG5285/2022	EPI_ISL_17489509	BF.7.14.1	12/5/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-05
889	hCoV-19/Xinjiang/IVDC-1034/2022	EPI_ISL_16636017	BF.7.14	12/5/2022	China	Xinjiang	Kelamayi	BF.7.14*	2022-12-05
890	hCoV-19/Xinjiang/IVDC-1032/2022	EPI_ISL_16636015	BF.7.14	12/5/2022	China	Xinjiang	Hami	BF.7.14*	2022-12-05
897	hCoV-19/Xinjiang/IVDC-1025/2022	EPI_ISL_16636008	BF.7.14	12/5/2022	China	Xinjiang	Hami	BF.7.14*	2022-12-05
905	hCoV-19/Zhejiang/IVDC-727/2022	EPI_ISL_16635431	BF.7.14	12/5/2022	China	Zhejiang	Hangzhou	BF.7.14*	2022-12-05
910	hCoV-19/Ningxia/IVDC-1308/2022	EPI_ISL_16635072	BF.7.14	12/5/2022	China	Ningxia	Zhongning	BF.7.14*	2022-12-05
919	hCoV-19/Anhui/WCDC-58/2022	EPI_ISL_16633880	BA.5.2.49	12/5/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-05
925	hCoV-19/Fujian/FCDC-74/2022	EPI_ISL_16610707	BA.5.1	12/5/2022	China	Fujian	Xiamen	Others	2022-12-05
929	hCoV-19/Fujian/FCDC-5285/2022	EPI_ISL_16610691	BF.7.14	12/5/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-05
930	hCoV-19/Fujian/FCDC-5284/2022	EPI_ISL_16610690	BF.7.14	12/5/2022	China	Fujian	Fuzhou	BF.7.14*	2022-12-05
932	hCoV-19/Fujian/FCDC-5282/2022	EPI_ISL_16610688	BA.5.2.49	12/5/2022	China	Fujian	Fuzhou	BA.5.2*	2022-12-05
933	hCoV-19/Fujian/FCDC-5281/2022	EPI_ISL_16610687	BA.5.1	12/5/2022	China	Fujian	Fuzhou	Others	2022-12-05
959	hCoV-19/Hong Kong/HK-HKPU-PUN538261326/2022	EPI_ISL_17581926	CM.12	12/6/2022	China	Hong Kong		Others	2022-12-06
979	hCoV-19/Shaanxi/SXCDC-YU005/2022	EPI_ISL_16709256	BF.7.14	12/6/2022	China	Shaanxi	Yulin	BF.7.14*	2022-12-06
980	hCoV-19/Shaanxi/SXCDC-YU004/2022	EPI_ISL_16709255	BF.7.14	12/6/2022	China	Shaanxi	Yulin	BF.7.14*	2022-12-06
988	hCoV-19/Zhejiang/IVDC-878/2022	EPI_ISL_16635582	BF.7.14	12/6/2022	China	Zhejiang	Jiaxing	BF.7.14*	2022-12-06
996	hCoV-19/Ningxia/IVDC-1310/2022	EPI_ISL_16635074	BA.5.2.48	12/6/2022	China	Ningxia	Zhongning	BA.5.2*	2022-12-06
997	hCoV-19/Ningxia/IVDC-1309/2022	EPI_ISL_16635073	BF.7.14	12/6/2022	China	Ningxia	Zhongning	BF.7.14*	2022-12-06
998	hCoV-19/Ningxia/IVDC-1296/2022	EPI_ISL_16635062	BF.7.14	12/6/2022	China	Ningxia	Xingqing	BF.7.14*	2022-12-06
1000	hCoV-19/Ningxia/IVDC-1294/2022	EPI_ISL_16635060	BA.5.2.48	12/6/2022	China	Ningxia	Qingtongxia	BA.5.2*	2022-12-06
1001	hCoV-19/Ningxia/IVDC-1293/2022	EPI_ISL_16635059	BF.7.14	12/6/2022	China	Ningxia	Wuzhong	BF.7.14*	2022-12-06
1002	hCoV-19/Ningxia/IVDC-1292/2022	EPI_ISL_16635058	BF.7.14	12/6/2022	China	Ningxia	Wuling	BF.7.14*	2022-12-06
1004	hCoV-19/Shanghai/IVDC-1807/2022	EPI_ISL_16634700	BA.5.2.49	12/6/2022	China	Shanghai	Jingan	BA.5.2*	2022-12-06
1006	hCoV-19/Shanghai/IVDC-1805/2022	EPI_ISL_16634698	BF.7.14	12/6/2022	China	Shanghai	Yangpu	BF.7.14*	2022-12-06
1022	hCoV-19/Shanghai/SJTU-235986/2022	EPI_ISL_16327551	XBB.1	12/6/2022	China	Shanghai		Others	2022-12-06
1039	hCoV-19/Beijing/BJCDC-3192/2022	EPI_ISL_16283995	BF.7.14	12/6/2022	China	Beijing		BF.7.14*	2022-12-06
1061	hCoV-19/Hebei/CZ-10/2022	EPI_ISL_17031540	BA.5.2.49	12/7/2022	China	Hebei	Cangzhou	BA.5.2*	2022-12-07
1082	hCoV-19/Guizhou/IVDC-1266/2022	EPI_ISL_16636174	BF.7.14	12/7/2022	China	Guizhou	Tongren	BF.7.14*	2022-12-07
1094	hCoV-19/Anhui/WCDC-73/2022	EPI_ISL_16633895	BA.5.2.49	12/7/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-07
1095	hCoV-19/Anhui/WCDC-72/2022	EPI_ISL_16633894	BF.7.14	12/7/2022	China	Anhui	Wuhu	BF.7.14*	2022-12-07
1097	hCoV-19/Anhui/WCDC-70/2022	EPI_ISL_16633892	BA.5.2.49	12/7/2022	China	Anhui	Wuhu	BA.5.2*	2022-12-07
1106	hCoV-19/Hong Kong/VZ22360014/2022	EPI_ISL_16376728	BF.7	12/7/2022	China	Hong Kong		BA.5.2*	2022-12-07
1110	hCoV-19/Hong Kong/HK-HKPU-PUN533932567/2022	EPI_ISL_17581931	CM.12	12/8/2022	China	Hong Kong		Others	2022-12-08
1130	hCoV-19/Zhejiang/IVDC-888/2022	EPI_ISL_16635592	BF.7.14	12/8/2022	China	Zhejiang	Jiaxing	BF.7.14*	2022-12-08
1139	hCoV-19/Shanghai/IVDC-1815/2022	EPI_ISL_16634708	BF.7.14	12/8/2022	China	Shanghai	Jingan	BF.7.14*	2022-12-08
1147	hCoV-19/Jilin/JLCDC-57784/2022	EPI_ISL_16614081	BF.7.14	12/8/2022	China	Jilin	Baicheng	BF.7.14*	2022-12-08
1149	hCoV-19/Jilin/JLCDC-57622/2022	EPI_ISL_16614079	BA.5.2.49	12/8/2022	China	Jilin	Changchun	BA.5.2*	2022-12-08
1188	hCoV-19/Hong Kong/HK-HKPU-PUN537678614/2022	EPI_ISL_17581985	CM.12	12/9/2022	China	Hong Kong		Others	2022-12-09
1191	hCoV-19/Hong Kong/HK-HKPU-PUN538006466/2022	EPI_ISL_17581933	CM.12	12/9/2022	China	Hong Kong		Others	2022-12-09
1200	hCoV-19/Yunnan/YCDC-23/2022	EPI_ISL_16750675	BN.1.2	12/9/2022	China	Yunnan		BA.2.75*	2022-12-09
1201	hCoV-19/Yunnan/YCDC-22/2022	EPI_ISL_16750674	BN.1.3	12/9/2022	China	Yunnan		BA.2.75*	2022-12-09
1203	hCoV-19/Yunnan/YCDC-20/2022	EPI_ISL_16750672	BN.1.2	12/9/2022	China	Yunnan		BA.2.75*	2022-12-09
1204	hCoV-19/Yunnan/YCDC-17/2022	EPI_ISL_16750669	BN.1.2	12/9/2022	China	Yunnan		BA.2.75*	2022-12-09
1247	hCoV-19/Hong Kong/VZ22360295/2022	EPI_ISL_16376723	BQ.1.1.14	12/9/2022	China	Hong Kong		Others	2022-12-09
1254	hCoV-19/Shanghai/SJTU-236913/2022	EPI_ISL_16327631	XBB.1.5	12/9/2022	China	Shanghai		XBB.1.5*	2022-12-09
1261	hCoV-19/Shanghai/SJTU-235868/2022	EPI_ISL_16327536	BQ.1.1.3	12/9/2022	China	Shanghai		Others	2022-12-09
1262	hCoV-19/Shanghai/SJTU-235825/2022	EPI_ISL_16327525	XBB.1	12/9/2022	China	Shanghai		Others	2022-12-09
1275	SARS-CoV-2/human/Beijing/3159/2022	EPI_ISL_16350901	BA.5.1	12/9/2022	China	Beijing		Others	2022-12-09
1314	hCoV-19/Inner Mongolia/IVDC-1243/2022	EPI_ISL_16635269	BF.7.14	12/10/2022	China	Inner Mongolia	Huhhot	BF.7.14*	2022-12-10
1322	hCoV-19/Hong Kong/VK22298326/2022	EPI_ISL_16376737	BQ.1.1.14	12/10/2022	China	Hong Kong		Others	2022-12-10
1323	hCoV-19/Hong Kong/VK22297564/2022	EPI_ISL_16376733	BF.7	12/10/2022	China	Hong Kong		BA.5.2*	2022-12-10
1324	hCoV-19/Hong Kong/VZ22360319/2022	EPI_ISL_16376722	BF.7	12/10/2022	China	Hong Kong		BA.5.2*	2022-12-10
1331	hCoV-19/Shanghai/SJTU-236169/2022	EPI_ISL_16327565	BQ.1.1	12/10/2022	China	Shanghai		Others	2022-12-10
1335	hCoV-19/Shanghai/SJTU-235846/2022	EPI_ISL_16327529	BA.5.2.35	12/10/2022	China	Shanghai		BA.5.2*	2022-12-10
1342	hCoV-19/Hong Kong/HK-HKPU-PUN533865533/2022	EPI_ISL_17581684	BF.7.14	12/11/2022	China	Hong Kong		BF.7.14*	2022-12-11
1344	hCoV-19/Hong Kong/HK-HKPU-PUN534527429/2022	EPI_ISL_17581681	BA.5.2.13	12/11/2022	China	Hong Kong		BA.5.2*	2022-12-11
1354	hCoV-19/Guangxi/BH-121901/2022	EPI_ISL_17086556	BF.7.14	12/11/2022	China	Guangxi	Beihai	BF.7.14*	2022-12-11
1361	hCoV-19/Shandong/SDCDC-0937/2022	EPI_ISL_16758266	BA.5.2.49	12/11/2022	China	Shandong	Liaocheng	BA.5.2*	2022-12-11
1372	hCoV-19/Shanghai/IVDC-1448/2022	EPI_ISL_16634341	BF.7.14	12/11/2022	China	Shanghai	Jiading	BF.7.14*	2022-12-11
1384	hCoV-19/Shanghai/SJTU-236733/2022	EPI_ISL_16327604	BQ.1	12/11/2022	China	Shanghai		Others	2022-12-11
1386	hCoV-19/Shanghai/SJTU-236682/2022	EPI_ISL_16327596	BN.1.3.1	12/11/2022	China	Shanghai		BA.2.75*	2022-12-11
1387	hCoV-19/Shanghai/SJTU-236619/2022	EPI_ISL_16327594	CH.1.1.3	12/11/2022	China	Shanghai		BA.2.75*	2022-12-11
1391	hCoV-19/Shanghai/SJTU-236137/2022	EPI_ISL_16327562	XBB.1	12/11/2022	China	Shanghai		Others	2022-12-11
