strain,lineage,date,country,province
EPI_ISL_16634502_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634501_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634500_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634499_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634498_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634497_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634496_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634495_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634494_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634493_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634492_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634491_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634490_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634489_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634488_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634487_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634486_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634485_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634484_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634483_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634482_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634481_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634480_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634479_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634478_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634477_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634476_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634475_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634474_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634473_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634472_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634471_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634470_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634469_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634468_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634467_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634466_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634465_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634464_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634463_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634462_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634461_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634460_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634459_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634458_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634457_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634456_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634455_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634454_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634453_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634452_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634451_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634450_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634449_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634448_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634447_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634446_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634445_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634444_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634443_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634442_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634441_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634440_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634439_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634438_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634437_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634436_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634435_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634434_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634433_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634432_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634431_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634430_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634429_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634428_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634427_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634426_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634425_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634424_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634423_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634422_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634421_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634420_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634419_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634418_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634417_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634416_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634415_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634414_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634413_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634412_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634411_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634410_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634409_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634408_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634407_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634406_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634405_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634404_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634403_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634402_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634401_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634400_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634399_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634398_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634397_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634396_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634395_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634394_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634393_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634392_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634391_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634390_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634389_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634388_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634387_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634386_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634385_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634384_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634383_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634382_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634381_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634379_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634378_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634377_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634376_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634375_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634374_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634373_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634372_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634371_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634370_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634369_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634368_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634367_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634366_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634365_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634364_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634363_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634362_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634361_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634360_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634359_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634358_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634357_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634356_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634355_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634354_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634353_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634352_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634351_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634350_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634349_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16634348_new,BF.7.14*,2022-12-01,China,Shanghai
EPI_ISL_16634347_new,BA.5.2*,2022-12-01,China,Shanghai
EPI_ISL_16633865_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16633864_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633863_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633862_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16633861_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633860_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633859_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633858_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633857_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633856_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633855_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16633854_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16617201_new,BA.5.2*,2022-12-01,China,Hubei
EPI_ISL_16617200_new,BF.7.14*,2022-12-01,China,Hubei
EPI_ISL_16617199_new,BA.5.2*,2022-12-01,China,Hubei
EPI_ISL_16610672_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16604344_new,BA.5.2*,2022-12-01,China,Shandong
EPI_ISL_16599083_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599082_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599081_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599080_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599079_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599078_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599077_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599076_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599075_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599074_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599073_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599072_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599071_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599070_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599069_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599068_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599067_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599066_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599065_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599064_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599063_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599062_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599061_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599060_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599059_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599058_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599057_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599056_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599055_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599054_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599053_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599052_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599051_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599050_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599049_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599048_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599047_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599046_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599045_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599044_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599043_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599042_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599041_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599040_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599039_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599038_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599037_new,BF.7.14*,2022-12-01,China,Anhui
EPI_ISL_16599036_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599035_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599034_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16599033_new,BA.5.2*,2022-12-01,China,Anhui
EPI_ISL_16597080_new,BA.5.2*,2022-12-01,China,Jiangxi
EPI_ISL_16597079_new,BA.5.2*,2022-12-01,China,Jiangxi
EPI_ISL_16597078_new,BA.5.2*,2022-12-01,China,Jiangxi
EPI_ISL_16597077_new,BA.5.2*,2022-12-01,China,Jiangxi
EPI_ISL_16597076_new,BA.5.2*,2022-12-01,China,Jiangxi
EPI_ISL_16348409_new,Others,2022-12-01,China,Hong Kong
EPI_ISL_16327477_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16327466_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16327459_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16327451_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16327437_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16327404_new,Others,2022-12-01,China,Shanghai
EPI_ISL_16306925_new,BA.5.2*,2022-12-01,China,Sichuan
EPI_ISL_16306924_new,BA.5.2*,2022-12-01,China,Sichuan
EPI_ISL_16298561_new,BA.5.2*,2022-12-01,China,Taiwan
EPI_ISL_16283983_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16283975_new,BF.7.14*,2022-12-01,China,Fujian
EPI_ISL_16283974_new,BF.7.14*,2022-12-01,China,Fujian
EPI_ISL_16283973_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16283972_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16077184_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_16077183_new,Others,2022-12-01,China,Hong Kong
EPI_ISL_16077182_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_16077181_new,Others,2022-12-01,China,Hong Kong
EPI_ISL_16077180_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_16077179_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_16077178_new,Others,2022-12-01,China,Hong Kong
EPI_ISL_16077177_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_16077176_new,BA.5.2*,2022-12-01,China,Hong Kong
EPI_ISL_16077175_new,BA.2.75*,2022-12-01,China,Hong Kong
EPI_ISL_17492929_new,BA.5.2*,2022-12-01,China,Sichuan
EPI_ISL_17492930_new,BA.5.2*,2022-12-01,China,Sichuan
EPI_ISL_16610659_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16610658_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16610656_new,BA.5.2*,2022-12-01,China,Fujian
EPI_ISL_16350866_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350865_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350863_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350864_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350958_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350957_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350956_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350955_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350953_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350954_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350951_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350950_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350952_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350949_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350948_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350947_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_16350946_new,BA.5.2*,2022-12-01,China,Beijing
EPI_ISL_17805446_new,BA.5.2*,2022-12-02,China,Hainan
EPI_ISL_17581919_new,Others,2022-12-02,China,Hong Kong
EPI_ISL_17581657_new,BA.5.2*,2022-12-02,China,Hong Kong
EPI_ISL_17581656_new,BA.5.2*,2022-12-02,China,Hong Kong
EPI_ISL_17489531_new,BF.7.14*,2022-12-02,China,Fujian
EPI_ISL_17489530_new,BF.7.14*,2022-12-02,China,Fujian
EPI_ISL_17489529_new,BA.5.2*,2022-12-02,China,Fujian
EPI_ISL_17489528_new,BA.5.2*,2022-12-02,China,Fujian
EPI_ISL_17489527_new,BA.5.2*,2022-12-02,China,Fujian
EPI_ISL_17489526_new,BF.7.14*,2022-12-02,China,Fujian
EPI_ISL_17489525_new,BA.5.2*,2022-12-02,China,Fujian
EPI_ISL_17489524_new,BA.5.2*,2022-12-02,China,Fujian
EPI_ISL_17487406_new,BF.7.14*,2022-12-02,China,Hubei
EPI_ISL_17487405_new,BF.7.14*,2022-12-02,China,Hubei
EPI_ISL_17487208_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487207_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487206_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487205_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487204_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487203_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17487202_new,BA.5.2*,2022-12-02,China,Hubei
EPI_ISL_17088808_new,BA.5.2*,2022-12-02,China,Guangxi
EPI_ISL_17088776_new,BA.5.2*,2022-12-02,China,Guangxi
EPI_ISL_17088769_new,BA.5.2*,2022-12-02,China,Guangxi
EPI_ISL_17088768_new,BA.5.2*,2022-12-02,China,Guangxi
EPI_ISL_17088767_new,BA.5.2*,2022-12-02,China,Guangxi
EPI_ISL_17086547_new,BA.2.75*,2022-12-02,China,Guangxi
EPI_ISL_17086546_new,BA.2.75*,2022-12-02,China,Guangxi
EPI_ISL_16750667_new,BA.2.75*,2022-12-02,China,Yunnan
EPI_ISL_16750666_new,BA.2.75*,2022-12-02,China,Yunnan
EPI_ISL_16723101_new,BA.5.2*,2022-12-02,China,Qinghai
EPI_ISL_16712231_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16712230_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16712080_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16712040_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16711993_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16711912_new,BF.7.14*,2022-12-02,China,Guangdong
EPI_ISL_16711882_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16711869_new,BA.5.2*,2022-12-02,China,Guangdong
EPI_ISL_16709486_new,BA.5.2*,2022-12-02,China,Shaanxi
EPI_ISL_16709485_new,BF.7.14*,2022-12-02,China,Shaanxi
EPI_ISL_16709480_new,BA.5.2*,2022-12-02,China,Shaanxi
EPI_ISL_16709253_new,BF.7.14*,2022-12-02,China,Shaanxi
EPI_ISL_16709249_new,BA.5.2*,2022-12-02,China,Shaanxi
EPI_ISL_16709248_new,BF.7.14*,2022-12-02,China,Shaanxi
EPI_ISL_16709247_new,BF.7.14*,2022-12-02,China,Shaanxi
