"strain","date","country","merged_lineage","date_num"
"EPI_ISL_16720497","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720496","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720495","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720494","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720493","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16720492","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16720491","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719821","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16719820","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16719819","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16719818","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16719817","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16719473","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719472","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719471","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719470","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719469","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719468","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719467","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719466","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719465","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719464","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719463","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719462","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719461","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719460","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719107","2022-12-12","China","BA.5.2*",19338
"EPI_ISL_16719106","2022-12-12","China","BA.5.2*",19338
"EPI_ISL_16719105","2022-12-12","China","BA.5.2*",19338
"EPI_ISL_16719104","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16719103","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16719102","2023-01-15","China","BA.5.2*",19372
"EPI_ISL_16719101","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16719100","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16719099","2023-01-16","China","BA.5.2*",19373
"EPI_ISL_16719098","2022-12-27","China","BA.5.2*",19353
"EPI_ISL_16719097","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16719096","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16719095","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16719094","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16719093","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16719091","2022-12-19","China","BA.5.2*",19345
"EPI_ISL_16719090","2022-12-19","China","BF.7.14*",19345
"EPI_ISL_16719089","2023-01-18","China","BA.5.2*",19375
"EPI_ISL_16719088","2023-01-18","China","BA.5.2*",19375
"EPI_ISL_16719087","2023-01-18","China","BA.5.2*",19375
"EPI_ISL_16719086","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719085","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719084","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719083","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719082","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719081","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719080","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719079","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719078","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719077","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719076","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719075","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719074","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719073","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719072","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719071","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719070","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719069","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719068","2023-01-20","China","BA.5.2*",19377
"EPI_ISL_16719067","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719066","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719065","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719064","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16719063","2023-01-20","China","BF.7.14*",19377
"EPI_ISL_16718458","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16718456","2023-01-05","China","BF.7.14*",19362
"EPI_ISL_16718455","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16718454","2023-01-05","China","BF.7.14*",19362
"EPI_ISL_16718452","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717961","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717960","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717958","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717957","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717954","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717953","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717376","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717146","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717087","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717086","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717085","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717083","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717061","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16717059","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16716979","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16716978","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16713983","2023-01-23","China","BA.5.2*",19380
"EPI_ISL_16713982","2023-01-22","China","BA.5.2*",19379
"EPI_ISL_16713435","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713434","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713433","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713432","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713431","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713430","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713429","2022-12-28","China","BA.5.2*",19354
"EPI_ISL_16713428","2023-01-15","China","BF.7.14*",19372
"EPI_ISL_16713427","2023-01-16","China","BF.7.14*",19373
"EPI_ISL_16713426","2023-01-14","China","BA.5.2*",19371
"EPI_ISL_16713425","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713424","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713423","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713422","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713421","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16713420","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713419","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713418","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713417","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713416","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713415","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713414","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713413","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713412","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713411","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713410","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713409","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713408","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713407","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713406","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713405","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713404","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713403","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713402","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713401","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713400","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713399","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16713398","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16713397","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16713396","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713395","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16713394","2023-01-09","China","BA.5.2*",19366
"EPI_ISL_16713393","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713392","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713391","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713390","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713389","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713388","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713387","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713386","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16713385","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16713384","2023-01-11","China","BF.7.14*",19368
"EPI_ISL_16713383","2023-01-06","China","BF.7.14*",19363
"EPI_ISL_16713382","2023-01-06","China","BA.5.2*",19363
"EPI_ISL_16713381","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16713380","2023-01-05","China","BA.5.2*",19362
"EPI_ISL_16713379","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713378","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713377","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713376","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16713375","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713374","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16713373","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713372","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713371","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713370","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713369","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16713368","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713367","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713366","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713365","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16713364","2023-01-19","China","BF.7.14*",19376
"EPI_ISL_16713363","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713362","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713361","2023-01-19","China","BA.5.2*",19376
"EPI_ISL_16713360","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713359","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713358","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713357","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713356","2023-01-17","China","BF.7.14*",19374
"EPI_ISL_16713355","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713354","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713353","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713352","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713351","2023-01-17","China","BF.7.14*",19374
"EPI_ISL_16713350","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713349","2023-01-17","China","BA.5.2*",19374
"EPI_ISL_16713348","2023-01-17","China","BF.7.14*",19374
"EPI_ISL_16713347","2022-12-20","China","BA.5.2*",19346
"EPI_ISL_16713346","2022-12-20","China","BA.5.2*",19346
"EPI_ISL_16713345","2022-12-20","China","BA.5.2*",19346
"EPI_ISL_16713344","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713343","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713342","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713341","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713340","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713339","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713338","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713337","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713336","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713335","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713334","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713333","2022-12-16","China","BA.5.2*",19342
"EPI_ISL_16713332","2022-12-13","China","BA.5.2*",19339
"EPI_ISL_16713331","2022-12-13","China","BA.5.2*",19339
"EPI_ISL_16713330","2022-12-13","China","BA.5.2*",19339
"EPI_ISL_16713329","2022-12-13","China","BA.5.2*",19339
"EPI_ISL_16713328","2022-12-18","China","BA.2.75*",19344
"EPI_ISL_16713327","2022-12-18","China","BF.7.14*",19344
"EPI_ISL_16713326","2022-12-18","China","BA.2.75*",19344
"EPI_ISL_16713325","2022-12-18","China","BA.5.2*",19344
"EPI_ISL_16713323","2022-12-15","China","BA.2.75*",19341
"EPI_ISL_16713322","2022-12-15","China","BA.5.2*",19341
"EPI_ISL_16713321","2022-12-13","China","BA.5.2*",19339
"EPI_ISL_16713319","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16713318","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16713317","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16713316","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16713314","2022-12-20","China","BA.2.75*",19346
"EPI_ISL_16713313","2022-12-20","China","BA.2.75*",19346
"EPI_ISL_16713312","2023-01-03","China","BF.7.14*",19360
"EPI_ISL_16713311","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713310","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713309","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713308","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713307","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713306","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713305","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713304","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713303","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713302","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713301","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713300","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713299","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713298","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713297","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713296","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713295","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713294","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713293","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713292","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713291","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713290","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713289","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713288","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713287","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713286","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713285","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713284","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713283","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713282","2023-01-02","China","BA.5.2*",19359
"EPI_ISL_16713281","2023-01-02","China","BF.7.14*",19359
"EPI_ISL_16713280","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713279","2023-01-01","China","BF.7.14*",19358
"EPI_ISL_16713278","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713277","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713276","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713275","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713274","2023-01-01","China","BA.5.2*",19358
"EPI_ISL_16713273","2023-01-03","China","BA.2.75*",19360
"EPI_ISL_16713272","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713271","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713270","2023-01-03","China","BA.2.75*",19360
"EPI_ISL_16713269","2022-12-29","China","BA.2.75*",19355
"EPI_ISL_16713268","2022-12-29","China","BA.2.75*",19355
"EPI_ISL_16713267","2022-12-29","China","BA.2.75*",19355
"EPI_ISL_16713266","2022-12-27","China","BA.2.75*",19353
"EPI_ISL_16713265","2022-12-27","China","BA.2.75*",19353
"EPI_ISL_16713264","2022-12-27","China","BA.2.75*",19353
"EPI_ISL_16713263","2022-12-20","China","BA.5.2*",19346
"EPI_ISL_16713262","2022-12-21","China","BA.5.2*",19347
"EPI_ISL_16713261","2022-12-22","China","BA.5.2*",19348
"EPI_ISL_16713260","2022-12-27","China","BA.5.2*",19353
"EPI_ISL_16713259","2022-12-27","China","BA.5.2*",19353
"EPI_ISL_16713258","2022-12-26","China","BA.5.2*",19352
"EPI_ISL_16713257","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713256","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713255","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713254","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713253","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713252","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16713251","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713250","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713249","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713248","2023-01-04","China","BA.5.2*",19361
"EPI_ISL_16713247","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16713246","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16712232","2023-01-11","China","BA.5.2*",19368
"EPI_ISL_16712231","2022-12-02","China","BA.5.2*",19328
"EPI_ISL_16712230","2022-12-02","China","BA.5.2*",19328
"EPI_ISL_16712229","2022-12-02","China","BA.5.2*",19328
"EPI_ISL_16712228","2023-01-03","China","BA.5.2*",19360
"EPI_ISL_16712227","2022-12-19","China","BA.5.2*",19345
"EPI_ISL_16712226","2022-12-19","China","BA.5.2*",19345
"EPI_ISL_16712225","2022-12-29","China","BA.5.2*",19355
"EPI_ISL_16712224","2022-12-19","China","BA.5.2*",19345
"EPI_ISL_16712223","2022-12-21","China","BA.5.2*",19347
